slab,tile,gz,gy,gx,local_id,global_id,thickness_vox,tile_median_vox,ratio,n_ids_in_run,kind
z4480,tile_y1344_x1792,4646,1667,1970,251,283721,22.0,2.5,8.8,1,fused
z6720,tile_y1344_x1792,6907,1743,1843,208,371106,22.0,2.5,8.8,2,split
z4480,tile_y1344_x1792,4676,1396,1998,935,293684,21.5,2.5,8.6,1,fused
z6720,tile_y1344_x1792,6894,1731,2036,204,371366,21.5,2.5,8.6,2,split
z6720,tile_y1792_x1344,6928,1904,1378,430,223883,21.5,2.5,8.6,1,fused
z4480,tile_y1344_x1792,4709,1424,2051,1036,293703,21.0,2.5,8.4,1,fused
z4480,tile_y1344_x1792,4538,1635,2227,460,283817,21.0,2.5,8.4,1,fused
z4480,tile_y1344_x1792,4677,1695,2008,251,283721,21.0,2.5,8.4,1,fused
z6720,tile_y1344_x1792,6742,1732,2195,43,364234,21.0,2.5,8.4,1,fused
z6720,tile_y1344_x1792,6910,1828,2158,89,223883,21.0,2.5,8.4,1,fused
z6720,tile_y1792_x1344,6825,2287,1501,119,223883,21.0,2.5,8.4,1,fused
z6720,tile_y1792_x1344,6861,2134,1728,340,373476,21.0,2.5,8.4,1,fused
z4480,tile_y1344_x1792,4712,1626,1845,1002,294342,20.5,2.5,8.2,1,fused
z4480,tile_y1344_x1792,4541,1588,2163,357,294605,20.5,2.5,8.2,1,fused
z4480,tile_y1344_x1792,4581,1635,2026,613,294722,20.5,2.5,8.2,1,fused
z6720,tile_y1344_x1792,6829,1737,2184,63,364221,20.5,2.5,8.2,1,fused
z6720,tile_y1792_x1344,6798,2279,1447,64,223883,20.5,2.5,8.2,1,fused
z2240,tile_y1344_x1792,2478,1387,2244,828,120103,24.5,3.0,8.17,2,split
z2240,tile_y1344_x1792,2363,1691,2020,173,127108,24.5,3.0,8.17,1,fused
z2240,tile_y1344_x1792,2389,1658,2016,173,127108,24.5,3.0,8.17,1,fused
z2240,tile_y1344_x1792,2438,1467,2050,974,120103,24.5,3.0,8.17,1,fused
z2240,tile_y1344_x1792,2386,1716,2244,576,138621,24.5,3.0,8.17,1,fused
z2240,tile_y1344_x1792,2255,1819,2173,104,123289,24.5,3.0,8.17,1,fused
z2240,tile_y1344_x1792,2351,1731,2262,396,138559,24.0,3.0,8.0,1,fused
z2240,tile_y1344_x1792,2283,1585,1916,283,119763,24.0,3.0,8.0,1,fused
z4480,tile_y1344_x1792,4556,1438,2219,501,294664,20.0,2.5,8.0,2,split
z6720,tile_y1344_x1792,6836,1773,2209,105,223883,20.0,2.5,8.0,1,fused
z6720,tile_y1792_x1344,6858,2123,1391,421,372213,20.0,2.5,8.0,1,fused
z2240,tile_y1344_x1792,2383,1414,1982,414,134791,23.5,3.0,7.83,1,fused
z4480,tile_y1344_x1792,4622,1616,2124,649,294748,19.5,2.5,7.8,1,fused
z6720,tile_y1344_x1792,6893,1794,1807,659,371042,19.5,2.5,7.8,2,split
z6720,tile_y1792_x1344,6773,1836,1400,15,223883,19.5,2.5,7.8,3,split
z2240,tile_y1344_x1792,2392,1837,2056,1541,139090,23.0,3.0,7.67,2,split
z4480,tile_y1344_x1792,4689,1626,2054,615,294724,19.0,2.5,7.6,2,split
z4480,tile_y1344_x1792,4498,1606,2158,324,294598,19.0,2.5,7.6,1,fused
z4480,tile_y1344_x1792,4604,1470,1855,497,282875,19.0,2.5,7.6,2,split
z6720,tile_y1344_x1792,6851,1785,2186,255,223883,19.0,2.5,7.6,1,fused
z6720,tile_y1792_x1344,6953,1964,1708,580,373569,19.0,2.5,7.6,1,fused
z6720,tile_y1792_x1344,6896,2224,1603,1002,373780,19.0,2.5,7.6,1,fused
z4480,tile_y1344_x1792,4690,1375,2014,587,293667,18.5,2.5,7.4,1,fused
z6720,tile_y1344_x1792,6736,1655,2008,395,363925,18.5,2.5,7.4,1,fused
z6720,tile_y1344_x1792,6945,1790,2202,719,223883,18.5,2.5,7.4,1,fused
z4480,tile_y1344_x1792,4666,1525,1997,1026,294909,18.0,2.5,7.2,1,fused
z6720,tile_y1792_x1344,6807,1947,1783,236,223883,18.0,2.5,7.2,1,fused
z6720,tile_y1792_x1344,6839,1830,1527,217,223883,18.0,2.5,7.2,1,fused
z6720,tile_y1792_x1344,6934,1991,1462,471,373517,18.0,2.5,7.2,1,fused
z6720,tile_y1792_x1344,6818,2252,1411,118,364829,18.0,2.5,7.2,2,split
z2240,tile_y1344_x1792,2377,1404,2209,828,120103,21.5,3.0,7.17,1,fused
z2240,tile_y1344_x1792,2481,1451,2223,1077,134905,21.5,3.0,7.17,2,split
z2240,tile_y1792_x1344,2303,1950,1791,1671,122230,24.5,3.5,7.0,1,fused
z2240,tile_y1792_x1344,2341,2226,1675,365,131046,24.5,3.5,7.0,1,fused
z2240,tile_y1792_x1344,2304,2173,1435,1352,121319,24.5,3.5,7.0,2,split
z2240,tile_y1792_x1344,2300,1933,1798,1671,122230,24.5,3.5,7.0,1,fused
z2240,tile_y1792_x1344,2272,2210,1519,1245,121319,24.5,3.5,7.0,2,split
z2240,tile_y1792_x1344,2307,1943,1783,1671,122230,24.5,3.5,7.0,1,fused
z4480,tile_y1344_x1792,4605,1439,2264,727,294789,17.5,2.5,7.0,1,fused
z4480,tile_y1344_x1792,4510,1648,2094,39,283751,17.5,2.5,7.0,1,fused
z4480,tile_y1344_x1792,4560,1716,1902,447,269631,17.5,2.5,7.0,2,split
z6720,tile_y1344_x1792,6856,1696,2018,204,371366,17.5,2.5,7.0,1,fused
z6720,tile_y1344_x1792,6885,1726,2125,63,364221,17.5,2.5,7.0,1,fused
z6720,tile_y1792_x1344,6943,2202,1627,517,373543,17.5,2.5,7.0,1,fused
z6720,tile_y1792_x1344,6932,1847,1757,351,223883,17.5,2.5,7.0,1,fused
z8960,tile_y1344_x1792,8975,1575,2015,1334,444465,24.5,3.5,7.0,4,split
z8960,tile_y1344_x1792,9067,1381,1938,2088,452998,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9084,1758,1854,2173,442680,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9112,1368,1869,2332,452747,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9169,1413,2017,513,452819,24.5,3.5,7.0,1,fused
z8960,tile_y1344_x1792,9087,1377,1940,2218,453061,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9039,1664,1807,428,453982,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9043,1659,1843,1711,431666,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9030,1599,1842,1566,454375,24.5,3.5,7.0,4,split
z8960,tile_y1344_x1792,9029,1512,1984,1717,455264,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9046,1579,1892,1923,455373,24.5,3.5,7.0,4,split
z8960,tile_y1344_x1792,9044,1411,1909,1816,452480,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9178,1741,1894,2445,442680,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9072,1381,1849,2286,452480,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9092,1374,1944,2218,453061,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9126,1360,1882,2350,453076,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9178,1809,2086,899,223883,24.5,3.5,7.0,1,fused
z8960,tile_y1344_x1792,9036,1437,1905,1783,455301,24.5,3.5,7.0,3,split
z8960,tile_y1344_x1792,9033,1565,1890,1671,455237,24.5,3.5,7.0,2,split
z8960,tile_y1344_x1792,9123,1425,2043,513,452819,24.5,3.5,7.0,1,fused
z2240,tile_y1792_x1344,2349,2144,1540,1911,142158,24.0,3.5,6.86,2,split
z2240,tile_y1792_x1344,2348,1923,1600,1949,142187,24.0,3.5,6.86,2,split
z2240,tile_y1792_x1344,2314,2222,1571,278,141345,24.0,3.5,6.86,1,fused
z8960,tile_y1344_x1792,9138,1571,1895,2232,455499,24.0,3.5,6.86,1,fused
z4480,tile_y1344_x1792,4582,1654,1904,133,283891,17.0,2.5,6.8,1,fused
z4480,tile_y1344_x1792,4498,1731,2263,186,283908,17.0,2.5,6.8,1,fused
z4480,tile_y1344_x1792,4634,1409,2035,844,293697,17.0,2.5,6.8,2,split
z4480,tile_y1344_x1792,4656,1631,2239,649,294748,17.0,2.5,6.8,1,fused
z4480,tile_y1344_x1792,4701,1520,2272,1084,206505,17.0,2.5,6.8,1,fused
z6720,tile_y1344_x1792,6753,1729,2135,43,364234,17.0,2.5,6.8,2,split
z6720,tile_y1344_x1792,6950,1651,2011,296,371151,17.0,2.5,6.8,1,fused
z6720,tile_y1792_x1344,6851,1810,1623,286,371045,17.0,2.5,6.8,1,fused
z6720,tile_y1792_x1344,6831,1866,1455,204,223883,17.0,2.5,6.8,3,split
z6720,tile_y1792_x1344,6809,2188,1756,762,373640,17.0,2.5,6.8,2,split
z6720,tile_y1792_x1344,6777,1839,1527,19,223883,17.0,2.5,6.8,1,fused
z2240,tile_y1792_x1344,2312,1991,1481,1594,141930,23.5,3.5,6.71,2,split
z2240,tile_y1792_x1344,2421,2095,1440,836,140923,23.5,3.5,6.71,1,fused
z2240,tile_y1792_x1344,2357,2258,1713,629,141535,23.5,3.5,6.71,2,split
z8960,tile_y1344_x1792,9143,1648,1832,881,454201,23.5,3.5,6.71,1,fused
z8960,tile_y1344_x1792,9029,1666,1847,1548,431666,23.5,3.5,6.71,2,split
z8960,tile_y1344_x1792,8975,1678,1939,1458,444695,23.5,3.5,6.71,3,split
z8960,tile_y1344_x1792,9044,1523,1903,1755,455286,23.5,3.5,6.71,1,fused
z2240,tile_y1344_x1792,2371,1628,2212,265,127615,20.0,3.0,6.67,1,fused
z2240,tile_y1344_x1792,2371,1767,2246,481,123289,20.0,3.0,6.67,1,fused
z2240,tile_y1344_x1792,2295,1758,1818,1262,126954,20.0,3.0,6.67,2,split
z2240,tile_y1344_x1792,2404,1433,2106,772,138796,20.0,3.0,6.67,2,split
z2240,tile_y1344_x1792,2334,1494,2000,291,119763,20.0,3.0,6.67,1,fused
z4480,tile_y1344_x1792,4539,1810,2260,292,223883,16.5,2.5,6.6,1,fused
z4480,tile_y1344_x1792,4699,1640,2147,766,294807,16.5,2.5,6.6,1,fused
z4480,tile_y1344_x1792,4712,1579,1922,1023,294907,16.5,2.5,6.6,1,fused
z4480,tile_y1344_x1792,4708,1658,2279,978,223883,16.5,2.5,6.6,2,split
z4480,tile_y1344_x1792,4605,1559,1888,16,282827,16.5,2.5,6.6,1,fused
z4480,tile_y1344_x1792,4509,1644,1839,133,283891,16.5,2.5,6.6,2,split
z6720,tile_y1344_x1792,6953,1644,2039,248,371352,16.5,2.5,6.6,1,fused
z6720,tile_y1344_x1792,6807,1683,1962,33,349856,16.5,2.5,6.6,2,split
z6720,tile_y1344_x1792,6735,1829,2121,20,223883,16.5,2.5,6.6,1,fused
z6720,tile_y1344_x1792,6876,1767,1908,150,371339,16.5,2.5,6.6,1,fused
z6720,tile_y1344_x1792,6956,1726,1883,227,371117,16.5,2.5,6.6,1,fused
z6720,tile_y1344_x1792,6867,1774,1833,160,371042,16.5,2.5,6.6,1,fused
z6720,tile_y1344_x1792,6923,1728,1968,227,371117,16.5,2.5,6.6,1,fused
z6720,tile_y1792_x1344,6840,2270,1367,60,223883,16.5,2.5,6.6,1,fused
z6720,tile_y1792_x1344,6782,1816,1417,76,370983,16.5,2.5,6.6,2,split
z2240,tile_y1792_x1344,2309,2140,1701,627,141534,23.0,3.5,6.57,2,split
z8960,tile_y1344_x1792,9038,1530,1898,1776,455296,23.0,3.5,6.57,2,split
z8960,tile_y1344_x1792,9050,1595,1838,1924,454518,23.0,3.5,6.57,3,split
z8960,tile_y1344_x1792,9102,1374,1843,2286,452480,23.0,3.5,6.57,3,split
z8960,tile_y1344_x1792,9039,1701,1841,1877,442680,23.0,3.5,6.57,2,split
z2240,tile_y1344_x1792,2278,1461,1972,210,138491,19.5,3.0,6.5,1,fused
z2240,tile_y1344_x1792,2353,1490,2021,447,119763,19.5,3.0,6.5,1,fused
z2240,tile_y1344_x1792,2337,1702,2240,233,138495,19.5,3.0,6.5,2,split
z2240,tile_y1344_x1792,2467,1706,2258,1011,123289,19.5,3.0,6.5,1,fused
z2240,tile_y1344_x1792,2369,1631,2249,265,127615,19.5,3.0,6.5,1,fused
z2240,tile_y1792_x1344,2274,2273,1401,423,121319,22.5,3.5,6.43,2,split
z8960,tile_y1344_x1792,9047,1532,1934,1874,455342,22.5,3.5,6.43,3,split
z8960,tile_y1344_x1792,9057,1698,2270,809,454887,22.5,3.5,6.43,1,fused
z4480,tile_y1344_x1792,4681,1580,2012,988,294897,16.0,2.5,6.4,1,fused
z4480,tile_y1344_x1792,4501,1826,1863,84,282844,16.0,2.5,6.4,2,split
z4480,tile_y1344_x1792,4568,1422,2083,478,293687,16.0,2.5,6.4,1,fused
z4480,tile_y1344_x1792,4521,1393,2013,9,281648,16.0,2.5,6.4,1,fused
z6720,tile_y1344_x1792,6917,1703,2117,177,371354,16.0,2.5,6.4,2,split
z6720,tile_y1344_x1792,6951,1702,1863,291,371117,16.0,2.5,6.4,1,fused
z6720,tile_y1792_x1344,6868,2075,1380,282,372146,16.0,2.5,6.4,1,fused
z6720,tile_y1792_x1344,6874,2031,1597,307,365556,16.0,2.5,6.4,3,split
z6720,tile_y1792_x1344,6768,2283,1450,80,223883,16.0,2.5,6.4,2,split
z6720,tile_y1792_x1344,6957,1920,1679,533,373546,16.0,2.5,6.4,1,fused
z2240,tile_y1344_x1792,2391,1468,2016,414,134791,19.0,3.0,6.33,1,fused
z2240,tile_y1344_x1792,2410,1494,1932,728,138770,19.0,3.0,6.33,1,fused
z2240,tile_y1792_x1344,2406,1852,1647,676,63448,22.0,3.5,6.29,1,fused
z8960,tile_y1344_x1792,9051,1416,1913,2035,452480,22.0,3.5,6.29,1,fused
z8960,tile_y1344_x1792,9051,1533,1967,1703,455256,22.0,3.5,6.29,1,fused
z8960,tile_y1344_x1792,9058,1403,1993,1838,452480,22.0,3.5,6.29,2,split
z4480,tile_y1344_x1792,4529,1480,2181,321,294597,15.5,2.5,6.2,1,fused
z4480,tile_y1344_x1792,4592,1383,1817,662,281431,15.5,2.5,6.2,1,fused
z4480,tile_y1344_x1792,4520,1602,1958,277,294588,15.5,2.5,6.2,2,split
z4480,tile_y1344_x1792,4510,1649,2098,39,283751,15.5,2.5,6.2,1,fused
z4480,tile_y1344_x1792,4655,1677,2044,817,294833,15.5,2.5,6.2,1,fused
z4480,tile_y1344_x1792,4600,1589,1936,663,294754,15.5,2.5,6.2,1,fused
z6720,tile_y1344_x1792,6925,1652,1880,241,371124,15.5,2.5,6.2,1,fused
z6720,tile_y1344_x1792,6757,1670,1899,76,364264,15.5,2.5,6.2,1,fused
z6720,tile_y1344_x1792,6799,1820,1942,404,223883,15.5,2.5,6.2,1,fused
z6720,tile_y1344_x1792,6756,1644,1989,373,363925,15.5,2.5,6.2,1,fused
z6720,tile_y1344_x1792,6911,1726,2268,155,223883,15.5,2.5,6.2,2,split
z6720,tile_y1344_x1792,6877,1724,2109,63,364221,15.5,2.5,6.2,3,split
z6720,tile_y1792_x1344,6845,2192,1567,169,223883,15.5,2.5,6.2,1,fused
z6720,tile_y1792_x1344,6936,1903,1377,430,223883,15.5,2.5,6.2,1,fused
z6720,tile_y1792_x1344,6951,1915,1370,430,223883,15.5,2.5,6.2,1,fused
z6720,tile_y1792_x1344,6887,2221,1514,958,373758,15.5,2.5,6.2,2,split
z2240,tile_y1344_x1792,2479,1379,2115,786,134968,18.5,3.0,6.17,1,fused
z2240,tile_y1344_x1792,2327,1789,2211,239,123289,18.5,3.0,6.17,2,split
z2240,tile_y1344_x1792,2308,1611,2170,301,138518,18.5,3.0,6.17,1,fused
z2240,tile_y1792_x1344,2310,1986,1495,1667,141979,21.5,3.5,6.14,3,split
z2240,tile_y1792_x1344,2420,2225,1493,838,140780,21.5,3.5,6.14,2,split
z8960,tile_y1344_x1792,9035,1578,1899,1671,455237,21.5,3.5,6.14,2,split
z8960,tile_y1344_x1792,9050,1375,1862,1825,452480,21.5,3.5,6.14,2,split
z8960,tile_y1344_x1792,9042,1534,1871,1988,454419,21.5,3.5,6.14,2,split
z8960,tile_y1792_x1344,9196,2180,1796,2818,459682,24.5,4.0,6.12,2,split
z8960,tile_y1792_x1344,9191,1838,1783,1164,442653,24.5,4.0,6.12,1,fused
z8960,tile_y1792_x1344,9135,2054,1599,2321,460360,24.5,4.0,6.12,4,split
z8960,tile_y1792_x1344,9182,2190,1788,2687,460571,24.5,4.0,6.12,2,split
z8960,tile_y1792_x1344,9139,2219,1528,2258,460318,24.5,4.0,6.12,3,split
z8960,tile_y1792_x1344,9037,1989,1643,324,459051,24.5,4.0,6.12,1,fused
z8960,tile_y1792_x1344,9162,2137,1619,2588,460533,24.5,4.0,6.12,4,split
z8960,tile_y1792_x1344,8979,2127,1526,61,448400,24.5,4.0,6.12,1,fused
z8960,tile_y1792_x1344,9096,1994,1832,840,449518,24.5,4.0,6.12,1,fused
z8960,tile_y1792_x1344,9187,2184,1627,2847,459660,24.5,4.0,6.12,2,split
z2240,tile_y1344_x1792,2390,1705,2094,720,138765,18.0,3.0,6.0,2,split
z2240,tile_y1344_x1792,2278,1752,1875,1449,126954,18.0,3.0,6.0,1,fused
z2240,tile_y1344_x1792,2423,1687,2246,576,138621,18.0,3.0,6.0,1,fused
z2240,tile_y1344_x1792,2461,1752,1943,986,63448,18.0,3.0,6.0,1,fused
z2240,tile_y1792_x1344,2355,1927,1705,1932,142173,21.0,3.5,6.0,3,split
z2240,tile_y1792_x1344,2390,1999,1745,705,132122,21.0,3.5,6.0,1,fused
z4480,tile_y1344_x1792,4593,1697,2028,595,294713,15.0,2.5,6.0,2,split
z6720,tile_y1344_x1792,6833,1638,1847,86,363925,15.0,2.5,6.0,1,fused
z6720,tile_y1344_x1792,6738,1725,2105,29,364276,15.0,2.5,6.0,1,fused
z6720,tile_y1344_x1792,6814,1767,2170,526,371446,15.0,2.5,6.0,3,split
z6720,tile_y1344_x1792,6749,1695,2148,63,364221,15.0,2.5,6.0,2,split
z6720,tile_y1344_x1792,6940,1653,1861,241,371124,15.0,2.5,6.0,1,fused
z6720,tile_y1344_x1792,6760,1693,2148,63,364221,15.0,2.5,6.0,1,fused
z6720,tile_y1344_x1792,6922,1707,1813,245,371127,15.0,2.5,6.0,2,split
z6720,tile_y1792_x1344,6934,1986,1426,335,223883,15.0,2.5,6.0,1,fused
z6720,tile_y1792_x1344,6825,2230,1450,118,364829,15.0,2.5,6.0,1,fused
z6720,tile_y1792_x1344,6755,2027,1545,181,365945,15.0,2.5,6.0,1,fused
z6720,tile_y1792_x1344,6853,2048,1470,896,373724,15.0,2.5,6.0,2,split
z8960,tile_y1344_x1792,9024,1432,2088,1657,455229,21.0,3.5,6.0,4,split
z8960,tile_y1344_x1792,9042,1373,1962,2035,452480,21.0,3.5,6.0,2,split
z8960,tile_y1344_x1792,8976,1576,1957,1384,444633,21.0,3.5,6.0,2,split
z8960,tile_y1344_x1792,9049,1415,1904,2035,452480,21.0,3.5,6.0,1,fused
z8960,tile_y1344_x1792,9041,1551,1906,1843,455328,21.0,3.5,6.0,2,split
z8960,tile_y1792_x1344,9063,2153,1634,1804,459991,24.0,4.0,6.0,2,split
z8960,tile_y1792_x1344,9170,1950,1533,178,223883,24.0,4.0,6.0,1,fused
z8960,tile_y1792_x1344,9078,2098,1388,1743,458286,24.0,4.0,6.0,2,split
z8960,tile_y1792_x1344,9027,1878,1819,20,449316,23.5,4.0,5.88,1,fused
z8960,tile_y1792_x1344,9176,2144,1629,2909,460592,23.5,4.0,5.88,2,split
z2240,tile_y1792_x1344,2343,2241,1705,365,131046,20.5,3.5,5.86,1,fused
z2240,tile_y1792_x1344,2331,2279,1619,440,141431,20.5,3.5,5.86,1,fused
z2240,tile_y1792_x1344,2350,1968,1659,1994,142220,20.5,3.5,5.86,2,split
z2240,tile_y1792_x1344,2291,2015,1699,1524,141876,20.5,3.5,5.86,2,split
z2240,tile_y1792_x1344,2284,1985,1571,1356,122397,20.5,3.5,5.86,4,split
z2240,tile_y1792_x1344,2255,2077,1813,58,131079,20.5,3.5,5.86,2,split
z8960,tile_y1344_x1792,9003,1562,2041,85,443837,20.5,3.5,5.86,2,split
z8960,tile_y1344_x1792,9096,1399,1827,2183,452685,20.5,3.5,5.86,3,split
z8960,tile_y1344_x1792,9017,1501,1829,1602,454398,20.5,3.5,5.86,4,split
z8960,tile_y1344_x1792,9051,1589,1877,1978,455400,20.5,3.5,5.86,3,split
z2240,tile_y1344_x1792,2282,1566,2211,179,120103,17.5,3.0,5.83,1,fused
z2240,tile_y1344_x1792,2347,1771,2163,173,127108,17.5,3.0,5.83,1,fused
z2240,tile_y1344_x1792,2397,1424,2130,583,134708,17.5,3.0,5.83,1,fused
z2240,tile_y1344_x1792,2407,1818,2064,1652,63448,17.5,3.0,5.83,1,fused
z2240,tile_y1344_x1792,2322,1546,1864,370,137756,17.5,3.0,5.83,2,split
z4480,tile_y1344_x1792,4656,1596,2254,780,294814,14.5,2.5,5.8,1,fused
z4480,tile_y1344_x1792,4555,1431,2275,351,281642,14.5,2.5,5.8,1,fused
z4480,tile_y1344_x1792,4548,1611,1838,420,294213,14.5,2.5,5.8,1,fused
z6720,tile_y1344_x1792,6815,1719,1930,113,371325,14.5,2.5,5.8,2,split
z6720,tile_y1344_x1792,6785,1734,1919,70,349856,14.5,2.5,5.8,1,fused
z6720,tile_y1344_x1792,6809,1760,1808,77,370993,14.5,2.5,5.8,2,split
z6720,tile_y1792_x1344,6910,2129,1720,340,373476,14.5,2.5,5.8,2,split
z6720,tile_y1792_x1344,6912,2053,1380,282,372146,14.5,2.5,5.8,1,fused
z6720,tile_y1792_x1344,6845,2283,1420,178,373413,14.5,2.5,5.8,1,fused
z6720,tile_y1792_x1344,6845,1940,1519,224,373429,14.5,2.5,5.8,1,fused
z6720,tile_y1792_x1344,6833,1985,1574,181,365945,14.5,2.5,5.8,1,fused
z6720,tile_y1792_x1344,6949,2162,1573,506,223883,14.5,2.5,5.8,1,fused
z8960,tile_y1792_x1344,9029,2106,1489,395,459094,23.0,4.0,5.75,2,split
z2240,tile_y1792_x1344,2265,2212,1518,1245,121319,20.0,3.5,5.71,3,split
z2240,tile_y1792_x1344,2300,1854,1506,573,63448,20.0,3.5,5.71,1,fused
z2240,tile_y1792_x1344,2404,1892,1684,2172,142364,20.0,3.5,5.71,3,split
z2240,tile_y1792_x1344,2367,1885,1822,2061,142275,20.0,3.5,5.71,3,split
z8960,tile_y1344_x1792,9035,1426,2075,1657,455229,20.0,3.5,5.71,1,fused
z8960,tile_y1344_x1792,9080,1361,1926,2166,453019,20.0,3.5,5.71,2,split
z8960,tile_y1344_x1792,9009,1617,2085,34,443838,20.0,3.5,5.71,2,split
z8960,tile_y1344_x1792,9173,1563,2079,1135,455124,20.0,3.5,5.71,1,fused
z8960,tile_y1344_x1792,9116,1636,2006,433,454770,20.0,3.5,5.71,2,split
z8960,tile_y1344_x1792,9019,1591,1848,1746,454462,20.0,3.5,5.71,4,split
z8960,tile_y1344_x1792,9039,1607,1846,1566,454375,20.0,3.5,5.71,3,split
z8960,tile_y1344_x1792,9016,1452,2006,298,454692,20.0,3.5,5.71,1,fused
z2240,tile_y1344_x1792,2303,1830,2147,173,127108,17.0,3.0,5.67,1,fused
z2240,tile_y1344_x1792,2339,1612,1814,416,137856,17.0,3.0,5.67,1,fused
z2240,tile_y1344_x1792,2398,1827,2071,1652,63448,17.0,3.0,5.67,1,fused
z2240,tile_y1344_x1792,2427,1691,2247,576,138621,17.0,3.0,5.67,1,fused
z2240,tile_y1344_x1792,2281,1738,2147,73,127086,17.0,3.0,5.67,1,fused
z2240,tile_y1344_x1792,2395,1564,1821,704,138177,17.0,3.0,5.67,1,fused
z8960,tile_y1792_x1344,9104,2259,1774,1950,459212,22.5,4.0,5.62,1,fused
z8960,tile_y1792_x1344,9089,2101,1392,1861,458286,22.5,4.0,5.62,3,split
z8960,tile_y1792_x1344,9058,2242,1737,1783,459157,22.5,4.0,5.62,1,fused
z8960,tile_y1792_x1344,9136,2171,1841,2286,449829,22.5,4.0,5.62,3,split
z4480,tile_y1344_x1792,4567,1757,2108,340,223883,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4599,1620,2131,649,294748,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4592,1635,2275,599,294716,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4578,1525,2225,483,294655,14.0,2.5,5.6,2,split
z4480,tile_y1344_x1792,4578,1675,2252,325,223883,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4555,1514,2244,322,266659,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4524,1473,2254,351,281642,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4659,1516,1977,1026,294909,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4521,1734,2168,319,294595,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4518,1818,1921,77,282844,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4647,1392,1952,666,293671,14.0,2.5,5.6,1,fused
z4480,tile_y1344_x1792,4617,1473,1874,497,282875,14.0,2.5,5.6,1,fused
z6720,tile_y1344_x1792,6862,1778,2259,114,223883,14.0,2.5,5.6,1,fused
z6720,tile_y1344_x1792,6942,1723,1916,227,371117,14.0,2.5,5.6,1,fused
z6720,tile_y1344_x1792,6887,1771,2076,82,223883,14.0,2.5,5.6,1,fused
