slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,mega_size_frac,mega_size_vox,scorable,mass_context
z10080,tile_y1344_x448,10303,1554,563,223,210,115,3723,3445,1561,3.6,0.241,1,0.5123,5196525,1,0.8367930975568085
z10080,tile_y1344_x896,10148,1804,1079,68,460,183,2011,542,2033,3.25,0.525,2,0.0907,834838,1,0.9593751810160066
z10080,tile_y1344_x896,10293,1525,939,213,181,43,2736,2686,2639,2.5,0.493,2,0.1166,878547,1,0.8647156458194057
z10080,tile_y1344_x896,10300,1403,1154,220,59,258,2710,2693,2711,2.62,0.377,2,0.0355,338927,1,0.9597154348484194
z10080,tile_y1792_x0,10174,2135,416,94,343,416,431,385,419,4.43,0.368,1,0.6117,438928,1,1.1298187659110195
z10080,tile_y1792_x1344,10205,2197,1796,125,405,452,160,773,1185,3.67,0.303,1,0.1031,1069432,1,0.7077773495833133
z10080,tile_y1792_x1792,10143,2074,1847,63,282,55,1269,476,547,2.57,0.257,2,0.1031,1069432,1,0.8164848374878088
z10080,tile_y1792_x1792,10144,2094,1827,64,302,35,1269,552,293,4.29,0.118,2,0.1031,1069432,1,0.8879768333043024
z10080,tile_y1792_x1792,10191,1826,1832,111,34,40,1067,846,685,3.0,0.377,2,0.1161,1093555,1,0.8696250879485375
z10080,tile_y1792_x1792,10208,2107,2243,128,315,451,2284,2247,2219,3.71,0.424,2,0.0516,484590,1,0.9009874257502122
z10080,tile_y1792_x448,10114,1920,625,34,128,177,190,1422,1212,2.14,0.36,2,0.1012,958140,1,0.8917045253407281
z10080,tile_y1792_x448,10119,2123,925,39,331,477,1331,33,1250,2.57,0.248,2,0.1134,692303,1,0.825685903500473
z10080,tile_y1792_x448,10129,1971,757,49,179,309,1553,1348,1259,3.57,0.132,2,0.1012,958140,1,0.7828474461940598
z10080,tile_y1792_x448,10133,1961,612,53,169,164,1422,1368,161,3.71,0.113,2,0.1012,958140,1,0.8158657499867447
z10080,tile_y1792_x448,10133,2095,916,53,303,468,1343,210,1404,2.57,0.279,2,0.1134,692303,1,0.8923167965282572
z10080,tile_y1792_x448,10138,1962,704,58,170,256,1553,108,1444,3.71,0.253,2,0.1012,958140,1,1.011890516078789
z10080,tile_y1792_x448,10150,2081,883,70,289,435,1457,1402,1553,2.14,0.437,2,0.1134,692303,1,0.9730868882969018
z10080,tile_y1792_x448,10198,2078,884,118,286,436,2172,521,1649,2.14,0.36,2,0.1134,692303,1,0.9492370374723316
z10080,tile_y1792_x448,10202,2045,835,122,253,387,1649,1610,2172,2.71,0.392,2,0.1012,958140,1,0.9702433887198689
z10080,tile_y1792_x448,10210,2072,914,130,280,466,1745,2172,530,2.14,0.311,2,0.1134,692303,1,0.9985126962551465
z10080,tile_y1792_x448,10236,1948,496,156,156,48,299,508,552,2.57,0.649,2,0.0327,98501,1,0.6461787577326585
z10080,tile_y1792_x448,10269,1897,571,189,105,123,2274,2237,2210,3.0,0.375,2,0.5123,5196525,1,0.9730790914948454
z10080,tile_y1792_x448,10282,1981,823,202,189,375,2214,2372,2172,2.14,0.182,2,0.5123,5196525,1,1.0699877606741044
z10080,tile_y1792_x448,10282,2271,902,202,479,454,2177,2324,2387,3.71,0.602,2,0.6199,4220953,1,1.0297154728202205
z10080,tile_y2240_x1344,10118,2374,1793,38,134,449,1415,1466,1398,3.2,0.49,1,0.3129,3245535,1,1.111047891855834
z10080,tile_y2240_x1344,10181,2361,1683,101,121,339,1983,2040,1812,3.1,0.481,1,0.3129,3245535,1,1.0449061662198391
z10080,tile_y2240_x1344,10275,2332,1376,195,92,32,2940,2764,2708,3.0,0.36,1,0.124,1248492,1,1.1116108744974724
z10080,tile_y2240_x1344,10286,2319,1391,206,79,47,2940,2716,2985,2.9,0.232,1,0.124,1248492,1,1.05162312429007
z10080,tile_y2240_x1792,10161,2409,2171,81,169,379,1411,1278,1358,5.33,0.322,1,0.1335,1255372,1,0.9669939001143728
z10080,tile_y2240_x2240,10112,2310,2517,32,70,277,135,65,85,3.67,0.243,1,0.0968,910294,1,0.771766418046207
z10080,tile_y2240_x448,10115,2410,883,35,170,435,526,472,276,4.33,0.332,1,0.0635,387752,1,1.002230990486024
z10080,tile_y2240_x448,10163,2389,762,83,149,314,490,130,487,4.33,0.452,1,0.0635,387752,1,0.8852900528013041
z10080,tile_y2240_x448,10284,2274,883,204,34,435,720,746,761,4.67,0.432,1,0.6199,4220953,1,1.0886618643904136
z10080,tile_y896_x0,10165,1375,461,85,479,461,67,60,86,2.5,0.152,1,0.2228,221558,1,0.6758373665207037
z10080,tile_y896_x896,10144,1139,1160,64,243,264,1607,1635,1641,3.78,0.362,1,0.167,1449968,1,0.9568079071004344
z10304,tile_y1344_x0,10422,1535,429,118,191,429,785,730,753,3.55,0.417,1,0.7668,797079,1,0.9406816143497758
z10304,tile_y1344_x1344,10517,1774,1413,213,430,69,701,1159,998,4.43,0.209,1,0.1367,1335419,1,0.9736694677871148
z10304,tile_y1344_x1792,10361,1412,1903,57,68,111,1794,35,1751,2.86,0.382,2,0.0969,814512,1,0.8609972611254637
z10304,tile_y1344_x1792,10362,1428,2008,58,84,216,1790,1769,1798,2.86,0.375,2,0.0969,814512,1,1.011477433355233
z10304,tile_y1344_x1792,10366,1421,2015,62,77,223,1798,1828,1790,2.29,0.481,2,0.0969,814512,1,0.9893855322646938
z10304,tile_y1344_x1792,10412,1731,2252,108,387,460,1943,2065,1952,3.14,0.609,2,0.0963,982322,1,0.9878101872006966
z10304,tile_y1344_x448,10380,1749,669,76,405,221,2429,2480,2107,3.18,0.265,1,0.3662,3900298,1,1.0732249911223446
z10304,tile_y1792_x0,10357,1895,418,53,103,418,373,260,292,3.78,0.276,1,0.4991,1656443,1,1.0211946469372213
z10304,tile_y1792_x0,10482,1848,430,178,56,430,405,404,363,3.33,0.507,1,0.0922,267309,1,1.225596029878236
z10304,tile_y1792_x1792,10402,1934,2093,98,142,301,494,502,672,2.12,0.513,2,0.0369,375962,1,0.8839061906570452
z10304,tile_y1792_x1792,10408,1983,2202,104,191,410,2203,2010,1879,4.89,0.523,1,0.2972,3031935,1,0.9209692646596035
z10304,tile_y1792_x1792,10428,1934,2171,124,142,379,494,670,891,3.5,0.254,2,0.0369,375962,1,0.8206647215527083
z10304,tile_y1792_x1792,10449,2080,1906,145,288,114,2384,743,2495,3.25,0.311,2,0.3101,2986409,1,0.9111513170693747
z10304,tile_y1792_x1792,10463,1930,2249,159,138,457,2416,981,949,3.75,0.299,2,0.2972,3031935,1,0.9576806786209213
z10304,tile_y1792_x1792,10525,1942,2149,221,150,357,1402,1350,1320,2.0,0.234,2,0.1506,1549847,1,0.8764305049939326
z10304,tile_y1792_x448,10350,1950,664,46,158,216,1800,1902,1610,3.0,0.501,1,0.5123,5196525,1,0.9666653319452231
z10304,tile_y2240_x1344,10483,2309,1811,179,69,467,1823,1748,1665,3.88,0.206,1,0.3101,2986409,1,1.2391778468045733
z10304,tile_y2240_x1344,10510,2334,1463,206,94,119,2002,2091,2153,3.62,0.575,1,0.2573,2474590,1,0.9940878548800419
z10304,tile_y2240_x1792,10454,2272,1891,150,32,99,1337,1339,1361,4.0,0.433,1,0.3101,2986409,1,1.2052545699102555
z10304,tile_y2240_x2240,10348,2460,2324,44,220,84,716,692,662,1.86,0.583,2,0.2412,2161648,1,0.8906338792168208
z10304,tile_y2240_x2240,10372,2333,2288,68,93,48,761,698,830,2.57,0.342,2,0.1054,946527,1,0.8451040003499486
z10304,tile_y2240_x2240,10375,2426,2336,71,186,96,739,719,789,3.71,0.361,2,0.1054,946527,1,0.9819459409890186
z10304,tile_y2240_x2240,10398,2340,2337,94,100,97,869,838,825,1.86,0.601,2,0.1054,946527,1,1.0487294410330326
z10304,tile_y2240_x2240,10407,2341,2336,103,101,96,880,235,926,2.71,0.354,2,0.1054,946527,1,1.0433397895409438
z10304,tile_y2240_x2240,10410,2432,2586,106,192,346,930,932,822,6.71,0.351,1,0.0332,98700,1,1.1508856099695242
z10304,tile_y2240_x2240,10414,2373,2316,110,133,76,902,891,275,1.71,0.356,2,0.1054,946527,1,0.9583192138258217
z10304,tile_y2240_x2240,10420,2340,2536,116,100,296,828,259,917,2.14,0.609,2,0.0469,421515,1,0.8289621012278671
z10304,tile_y2240_x2240,10421,2288,2316,117,48,76,979,913,1048,3.71,0.684,2,0.1054,946527,1,0.973592647920882
z10304,tile_y2240_x2240,10460,2284,2274,156,44,34,1048,970,1108,3.71,0.456,2,0.1054,946527,1,1.0617674566692537
z10304,tile_y2240_x2240,10481,2326,2467,177,86,227,1181,432,1168,1.71,0.544,2,0.0469,421515,1,0.9767250237499757
z10304,tile_y2240_x2240,10484,2304,2440,180,64,200,447,1119,421,1.86,0.278,2,0.0469,421515,1,0.9028680217469549
z10304,tile_y2240_x2240,10493,2369,2344,189,129,104,441,494,416,1.86,0.68,2,0.0469,421515,1,0.7165979292864201
z10304,tile_y2240_x2240,10506,2282,2693,202,42,453,1263,948,1329,2.43,0.681,2,0.418,996734,1,1.1247634367903103
z10304,tile_y2240_x448,10446,2380,813,142,140,365,732,140,535,4.1,0.281,1,0.6023,3643622,1,1.0289537828052158
z10304,tile_y2240_x448,10482,2275,845,178,35,397,682,569,687,3.1,0.378,1,0.6023,3643622,1,1.0336849507735584
z10304,tile_y2240_x448,10515,2294,760,211,54,312,782,792,763,3.5,0.229,1,0.2881,1851808,1,1.0470078801591636
z10304,tile_y2240_x896,10524,2360,1260,220,120,364,2281,2426,2277,3.4,0.371,1,0.2573,2474590,1,1.1381945730214569
z10304,tile_y896_x0,10492,1367,477,188,471,477,60,63,57,2.75,0.321,1,0.7668,797079,1,1.199305674122133
z10304,tile_y896_x1344,10527,1369,1778,223,473,434,2419,2592,2536,3.56,0.338,1,0.5751,6076279,1,1.018606751721802
z10304,tile_y896_x2240,10337,1267,2504,33,371,264,22,16,128,1.88,0.24,2,0.299,2379403,1,0.8699384150330484
z10304,tile_y896_x2240,10362,1169,2380,58,273,140,2,226,302,2.12,0.102,2,0.299,2379403,1,0.9360354910264166
z10304,tile_y896_x2240,10375,1247,2395,71,351,155,977,355,978,1.75,0.654,2,0.164,1237895,1,0.8357818868445898
z10304,tile_y896_x2240,10421,1188,2371,117,292,131,1124,1111,1073,3.25,0.374,2,0.164,1237895,1,1.1565157926229859
z10304,tile_y896_x2240,10431,1185,2301,127,289,61,1161,493,1123,3.75,0.613,2,0.164,1237895,1,0.9170304388862671
z10304,tile_y896_x2240,10433,1140,2352,129,244,112,1220,1152,1176,3.25,0.289,2,0.164,1237895,1,1.1583784829721362
z10304,tile_y896_x2240,10433,1202,2366,129,306,126,1111,1073,1135,3.25,0.314,2,0.164,1237895,1,1.0035362465269007
z10304,tile_y896_x2240,10433,1243,2496,129,347,256,1214,1195,1211,1.88,0.524,2,0.164,1237895,1,0.7924846803098624
z10304,tile_y896_x2240,10433,1251,2477,129,355,237,1195,1137,574,2.0,0.22,2,0.164,1237895,1,0.8081926203877423
z10304,tile_y896_x2240,10436,1161,2347,132,265,107,1220,1178,1124,2.25,0.386,2,0.164,1237895,1,1.1797283678072659
z10304,tile_y896_x2240,10466,1127,2310,162,231,70,1261,1233,1227,4.12,0.366,1,0.164,1237895,1,1.0871899950540522
z10528,tile_y1344_x2240,10613,1798,2633,85,454,393,72,583,607,2.91,0.279,1,0.1976,1248484,1,0.9449092410988499
z10528,tile_y1344_x2688,10669,1787,2795,141,443,107,755,685,711,4.0,0.328,1,0.0818,363102,1,0.9262045686847797
z10528,tile_y1344_x2688,10719,1704,2752,191,360,64,755,738,758,4.86,0.195,1,0.0818,363102,1,1.0285559203558567
z10528,tile_y1344_x896,10720,1396,1344,192,52,448,3327,3154,3609,4.2,0.281,1,0.2625,2618788,1,1.0635785007072136
z10528,tile_y1792_x1792,10613,1967,2173,85,175,381,3079,2961,3076,3.45,0.463,1,0.1506,1549847,1,0.9510874795496103
z10528,tile_y1792_x2240,10572,2083,2534,44,291,294,2123,2332,1855,3.08,0.561,1,0.2369,1909694,1,1.1814502365046082
z10528,tile_y1792_x2688,10571,1855,2742,43,63,54,413,388,368,4.56,0.516,1,0.1976,1248484,1,0.9083150350084932
z10528,tile_y1792_x448,10575,1863,686,47,71,238,1811,1878,1339,2.46,0.382,1,0.5346,5639661,1,1.2141734256812176
z10528,tile_y1792_x896,10744,2052,1048,216,260,152,3475,3628,3897,3.3,0.388,1,0.6204,6335550,1,1.0008029253569632
z10528,tile_y2240_x1344,10674,2326,1779,146,86,435,1813,2068,1874,2.29,0.642,1,0.3942,3151080,1,1.00263251935676
z10528,tile_y2240_x1344,10689,2308,1505,161,68,161,2073,1963,1951,2.43,0.482,1,0.6204,6335550,1,1.2442023117131709
z10528,tile_y2240_x448,10711,2312,850,183,72,402,707,752,722,2.64,0.391,1,0.6644,3988972,1,1.1633523499049172
z10528,tile_y2240_x448,10713,2351,870,185,111,422,702,711,670,3.55,0.518,1,0.6644,3988972,1,1.2591557520647367
z10528,tile_y2240_x896,10734,2364,1037,206,124,141,2451,2256,2400,2.31,0.182,1,0.6204,6335550,1,1.076252918986887
z10528,tile_y448_x896,10735,887,1195,207,439,299,90,117,82,6.14,0.995,1,0.0657,188379,1,0.7599880861902513
z10528,tile_y896_x1344,10741,944,1741,213,48,397,3550,3699,3522,3.33,0.467,1,0.2928,443062,1,1.2972963332857754
z10752,tile_y1344_x2688,10949,1691,2725,197,347,37,524,578,528,3.62,0.393,1,0.7473,2800112,1,1.0368537303664922
z10752,tile_y1792_x1792,10815,2033,2004,63,241,212,1751,1473,1880,1.78,0.527,1,0.0339,343389,1,1.1319065343258892
z10752,tile_y1792_x2240,10795,2177,2642,43,385,402,1119,1200,1118,2.64,0.512,1,0.5777,674616,1,1.1721687030075187
z10752,tile_y2240_x2240,10829,2323,2386,77,83,146,412,313,291,1.81,0.565,1,0.8111,6334816,1,1.7400240689130986
z10752,tile_y448_x2240,10902,820,2453,150,372,213,706,720,737,2.27,0.38,1,0.8078,5667986,1,1.1675233056185437
z10752,tile_y448_x896,10826,815,1213,74,367,317,794,848,685,2.12,0.373,1,0.5855,3189236,1,1.2359289435020702
z10752,tile_y896_x2240,10787,1169,2480,35,273,240,2075,2167,2047,3.31,0.382,1,0.1288,1326074,1,0.9612322151155201
z10752,tile_y896_x2240,10943,1176,2448,191,280,208,4400,4545,4589,2.46,0.243,1,0.4945,4974794,1,1.1104968073508799
z10976,tile_y1344_x2688,11017,1464,2773,41,120,85,171,208,65,2.21,0.201,1,0.8832,3195383,1,1.0981999672721323
z10976,tile_y1344_x448,11181,1544,644,205,200,196,51,34,7,2.0,0.454,2,0.8399,589823,1,0.9875599642247337
z10976,tile_y1344_x448,11188,1638,559,212,294,111,51,9,39,1.62,0.551,2,0.8399,589823,1,1.1961697722567288
z10976,tile_y1344_x448,11193,1651,554,217,307,106,51,39,45,2.38,0.908,1,0.8399,589823,1,1.2453468208092486
z10976,tile_y1344_x896,11184,1481,1182,208,137,286,124,75,85,2.62,0.265,1,0.6151,599917,1,1.1262297658337261
z10976,tile_y1344_x896,11186,1488,1188,210,144,292,124,101,85,2.31,0.389,1,0.6151,599917,1,1.137808104271519
z10976,tile_y448_x896,11010,917,1280,34,469,384,345,249,324,1.72,0.518,1,0.929,3465670,1,1.2513648041104688
z1120,tile_y1344_x1344,1153,1400,1626,33,56,282,1678,1715,1603,3.29,0.551,2,0.2738,1705699,1,0.9805494941479865
z1120,tile_y1344_x1344,1159,1776,1425,39,432,81,2044,1628,1549,4.14,0.411,1,0.1037,937455,1,0.9212260919476384
z1120,tile_y1344_x1344,1182,1664,1391,62,320,47,1909,358,1852,2.71,0.314,2,0.1037,937455,1,1.0304644226672348
z1120,tile_y1344_x1344,1219,1818,1418,99,474,74,475,486,679,3.14,0.252,2,0.0488,441197,1,0.8955484598046581
z1120,tile_y1344_x1344,1238,1615,1517,118,271,173,2053,2098,2002,2.29,0.298,2,0.1037,937455,1,0.9501954074390931
z1120,tile_y1344_x1344,1244,1812,1472,124,468,128,733,811,475,4.14,0.34,1,0.0488,441197,1,0.8023741766005293
z1120,tile_y1344_x1344,1249,1603,1496,129,259,152,2111,2098,2123,2.14,0.23,2,0.1037,937455,1,0.9229998747965444
z1120,tile_y1344_x1344,1269,1606,1478,149,262,134,2094,2062,957,2.86,0.247,2,0.1037,937455,1,0.8451374307171368
z1120,tile_y1344_x1792,1200,1513,2265,80,169,473,1719,1707,1689,2.38,0.606,2,0.6135,3183706,1,1.0463369632793855
z1120,tile_y1344_x1792,1228,1428,2225,108,84,433,1856,711,1884,3.25,0.159,2,0.6135,3183706,1,0.9745179977005395
z1120,tile_y1344_x1792,1343,1755,1995,223,411,203,839,1314,1154,4.57,0.284,1,0.0378,359364,1,0.8696984706829298
z1120,tile_y1344_x448,1206,1585,862,86,241,414,1672,1707,1589,2.62,0.545,2,0.1184,994531,1,0.8990707936440588
z1120,tile_y1344_x448,1225,1751,865,105,407,417,1930,1710,1839,2.5,0.394,2,0.1503,1262400,1,1.0225466870174178
z1120,tile_y1344_x448,1231,1552,893,111,208,445,1868,1760,1822,1.88,0.36,2,0.1184,994531,1,1.0411648088576344
z1120,tile_y1344_x448,1240,1562,809,120,218,361,1738,1837,1702,3.25,0.395,2,0.1184,994531,1,1.049907063197026
z1120,tile_y1344_x448,1289,1596,899,169,252,451,354,677,735,4.62,0.216,1,0.0379,277784,1,0.9288223264766029
z1120,tile_y1344_x448,1341,1709,824,221,365,376,2150,2089,2153,3.25,0.437,2,0.0405,297231,1,0.8852755283428797
z1120,tile_y1344_x896,1172,1731,951,52,387,55,1684,1712,398,2.38,0.353,2,0.1503,1262400,1,0.8213622408369026
z1120,tile_y1344_x896,1190,1669,961,70,325,65,2089,1776,1707,3.25,0.538,2,0.1503,1262400,1,0.9374708151017797
z1120,tile_y1344_x896,1195,1758,989,75,414,93,2089,1916,1730,3.25,0.404,2,0.1503,1262400,1,0.8647307661896102
z1120,tile_y1344_x896,1203,1689,955,83,345,59,2089,1776,1767,2.0,0.348,2,0.1503,1262400,1,0.9734007720410837
z1120,tile_y1344_x896,1277,1698,1332,157,354,436,793,1037,1087,1.75,0.171,2,0.1037,937455,1,0.7997192423734496
z1120,tile_y1344_x896,1294,1638,1036,174,294,140,2120,2089,2160,2.5,0.437,2,0.068,621014,1,0.9580095051719318
z1120,tile_y1344_x896,1338,1585,1078,218,241,182,2240,2277,2203,2.12,0.425,2,0.068,621014,1,0.9960253757035376
z1120,tile_y1792_x0,1212,2042,454,92,250,454,364,289,93,4.43,0.283,1,0.0663,30268,1,0.968174986798814
z1120,tile_y1792_x0,1290,2045,433,170,253,433,364,353,351,7.0,0.38,1,0.0639,36820,1,1.1087142521015594
z1120,tile_y1792_x1344,1260,1838,1739,140,46,395,2304,2225,2332,3.67,0.493,1,0.074,675266,1,0.9738021724574064
z1120,tile_y1792_x1344,1317,2070,1529,197,278,185,2628,2698,1088,3.44,0.242,1,0.1408,1157081,1,0.9648816985271075
z1120,tile_y1792_x1792,1306,2187,2265,186,395,473,954,792,1182,3.71,0.113,2,0.3028,1764770,1,0.8631145394856096
z1120,tile_y1792_x1792,1321,2175,2213,201,383,421,1986,1783,2155,2.14,0.4,2,0.3028,1764770,1,0.9244461331618635
z1120,tile_y1792_x1792,1339,2001,1972,219,209,180,2136,2176,1838,2.71,0.462,2,0.0395,374902,1,0.9672515174506828
z1120,tile_y1792_x2240,1188,2027,2608,68,235,368,808,835,992,1.83,0.611,2,0.0527,88375,1,1.0128096761858763
z1120,tile_y1792_x2240,1214,2069,2535,94,277,295,1069,1224,242,3.17,0.102,2,0.0602,329871,1,1.0304066629443513
z1120,tile_y1792_x2240,1230,1878,2605,110,86,365,1002,1093,978,8.17,0.439,2,0.6028,1010450,1,1.5055905262855336
z1120,tile_y1792_x2240,1235,1843,2472,115,51,232,1012,1081,1119,2.17,0.351,2,0.0616,536684,1,0.6671315937312334
z1120,tile_y1792_x2240,1235,1905,2597,115,113,357,1093,1002,1072,2.17,0.642,2,0.6028,1010450,1,1.0427839747851568
z1120,tile_y1792_x2240,1245,1825,2481,125,33,241,1119,297,1,1.67,0.365,2,0.0616,536684,1,0.7617594187701295
z1120,tile_y1792_x2240,1304,2206,2344,184,414,104,1231,1307,1259,2.33,0.163,2,0.3028,1764770,1,0.9217793783001569
z1120,tile_y1792_x2240,1309,2078,2404,189,286,164,1224,1254,1248,2.17,0.163,2,0.0318,185414,1,1.05896330410073
z1120,tile_y1792_x2240,1322,1877,2607,202,85,367,333,413,471,5.67,0.92,2,0.6039,825662,1,0.9550435785695975
z1120,tile_y1792_x896,1211,2039,1323,91,247,427,1202,1236,461,4.67,0.392,2,0.041,370897,1,0.9378173653951069
z1120,tile_y1792_x896,1245,1971,1300,125,179,404,1202,534,496,4.5,0.228,2,0.041,370897,1,0.7603946301824868
z1120,tile_y1792_x896,1286,2068,1242,166,276,346,1472,712,1602,4.0,0.39,2,0.1408,1157081,1,0.7897489985510951
z1120,tile_y1792_x896,1308,2129,1257,188,337,361,1607,1598,1706,2.0,0.337,2,0.1408,1157081,1,1.0830236024375979
z1120,tile_y1792_x896,1313,2111,1371,193,319,475,1667,1668,1688,3.5,0.496,2,0.1408,1157081,1,1.1099058290618666
z1120,tile_y896_x1344,1166,1285,1653,46,389,309,1237,799,73,3.1,0.39,1,0.2738,1705699,1,0.9446212248087981
z1120,tile_y896_x1792,1190,1345,1909,70,449,117,819,768,893,3.33,0.563,1,0.109,678870,1,1.0097796530707923
z11200,tile_y1344_x1792,11307,1633,2157,107,289,365,187,188,82,4.11,0.416,2,0.0713,123901,1,1.1455270150575732
z11200,tile_y1344_x1792,11310,1810,1960,110,466,168,225,219,227,3.78,0.417,2,0.777,2939955,1,2.2856226702473044
z11200,tile_y1344_x1792,11314,1707,1839,114,363,47,297,239,194,2.78,0.493,2,0.777,2939955,1,1.6535489163284691
z11200,tile_y1344_x1792,11314,1807,1973,114,463,181,227,225,226,2.89,0.49,2,0.777,2939955,1,1.908030460366909
z11200,tile_y1344_x1792,11328,1806,1991,128,462,199,286,226,297,2.89,0.519,2,0.777,2939955,1,1.4513961878249013
z11200,tile_y1344_x1792,11343,1799,1996,143,455,204,297,120,123,1.78,0.253,2,0.777,2939955,1,1.3626693865656418
z11200,tile_y896_x1344,11253,1059,1639,53,163,295,192,21,186,4.14,0.111,1,0.1351,46709,1,0.9352256822953114
z11368,tile_y1792_x1792,11588,1954,2029,220,162,237,984,985,1030,2.0,0.466,1,0.0318,232743,1,2.3478788779859254
z11368,tile_y2240_x1792,11589,2417,1879,221,177,87,711,625,647,2.38,0.761,1,0.9135,5152283,1,1.2993490597529764
z11368,tile_y2240_x3584,11583,2278,3667,215,38,83,17,5,21,2.44,0.341,1,0.8944,768640,1,0.8602480045610034
z1344,tile_y1344_x1792,1511,1376,1848,167,32,56,512,601,645,2.5,0.533,2,0.1099,1080636,1,0.8962083268117076
z1344,tile_y1344_x1792,1524,1470,1867,180,126,75,604,512,790,2.5,0.212,2,0.0311,306131,1,0.7530330903756142
z1344,tile_y1344_x1792,1545,1779,2100,201,435,308,1490,1456,1424,2.0,0.392,2,0.1144,988823,1,1.0057340098458984
z1344,tile_y1344_x2240,1471,1554,2370,127,210,130,1211,1546,1790,5.57,0.387,1,0.0866,792625,1,0.9860315902357453
z1344,tile_y1344_x448,1397,1795,696,53,451,248,267,83,228,2.0,0.513,2,0.0412,302564,1,0.6964239252984881
z1344,tile_y1344_x896,1431,1497,1284,87,153,388,2115,2229,2095,3.38,0.244,2,0.0346,327280,1,0.872952578903373
z1344,tile_y1344_x896,1432,1723,1153,88,379,257,2008,2019,1965,2.0,0.533,2,0.0355,323401,1,1.0309450243038547
z1344,tile_y1344_x896,1464,1624,1359,120,280,463,2359,747,703,3.5,0.242,2,0.0301,273844,1,0.7656686846450192
z1344,tile_y1344_x896,1484,1558,1234,140,214,338,2528,2570,2325,4.62,0.234,1,0.0301,273844,1,0.9296192455002878
z1344,tile_y1792_x1344,1492,2203,1709,148,411,365,1856,1812,1861,4.5,0.26,1,0.4141,3955087,1,1.045602115628561
z1344,tile_y1792_x2240,1467,2137,2400,123,345,160,1884,1299,1422,1.67,0.237,2,0.1787,1175674,1,1.2313591517350873
z1344,tile_y1792_x2240,1473,2148,2426,129,356,186,1884,1465,391,2.0,0.317,2,0.1787,1175674,1,1.241742904058175
z1344,tile_y1792_x2240,1480,2184,2424,136,392,184,1884,1277,1442,3.33,0.43,2,0.1787,1175674,1,1.0545583992205942
z1344,tile_y1792_x2240,1488,2096,2278,144,304,38,1440,1522,1505,2.56,0.309,2,0.1787,1175674,1,0.9718997829072704
z1344,tile_y1792_x2240,1490,2167,2449,146,375,209,1884,1570,1277,4.56,0.394,1,0.1787,1175674,1,1.0711283691183189
