site_row,kind,slab,tile,gz,gy,gx,tier,in_bounds,was_mega,mega_size_frac,mega_size_vox
13386,control,z9856,tile_y1344_x2240,9978,1766,2636,2,1,0,0.0,0
13387,flagged,z9856,tile_y1344_x2240,9979,1716,2695,2,1,0,0.0,0
13387,control,z9856,tile_y1344_x2240,9979,1746,2695,2,1,0,0.0,0
13389,flagged,z9856,tile_y1344_x2240,9982,1663,2702,2,1,0,0.0,0
13389,control,z9856,tile_y1344_x2240,9982,1693,2702,2,1,0,0.0,0
13427,flagged,z9856,tile_y1344_x2688,9888,1560,2839,2,1,1,0.1573,1441681
13427,control,z9856,tile_y1344_x2688,9888,1590,2839,2,1,0,0.0,0
13428,flagged,z9856,tile_y1344_x2688,9888,1609,2735,2,1,1,0.1573,1441681
13428,control,z9856,tile_y1344_x2688,9888,1639,2735,2,1,0,0.0,0
13429,flagged,z9856,tile_y1344_x2688,9889,1543,2966,2,1,0,0.0,0
13429,control,z9856,tile_y1344_x2688,9889,1573,2966,2,1,0,0.0,0
13430,flagged,z9856,tile_y1344_x2688,9891,1618,2758,2,1,1,0.1573,1441681
13430,control,z9856,tile_y1344_x2688,9891,1648,2758,2,1,0,0.0,0
13432,flagged,z9856,tile_y1344_x2688,9892,1668,2761,1,1,1,0.1573,1441681
13432,control,z9856,tile_y1344_x2688,9892,1698,2761,1,1,0,0.0,0
13433,flagged,z9856,tile_y1344_x2688,9894,1559,2743,2,1,1,0.1573,1441681
13433,control,z9856,tile_y1344_x2688,9894,1589,2743,2,1,1,0.1573,1441681
13434,flagged,z9856,tile_y1344_x2688,9894,1627,2914,2,1,0,0.0,0
13434,control,z9856,tile_y1344_x2688,9894,1657,2914,2,1,0,0.0,0
13435,flagged,z9856,tile_y1344_x2688,9896,1614,2904,2,1,0,0.0,0
13435,control,z9856,tile_y1344_x2688,9896,1644,2904,2,1,0,0.0,0
13436,flagged,z9856,tile_y1344_x2688,9896,1621,2823,2,1,0,0.0,0
13436,control,z9856,tile_y1344_x2688,9896,1651,2823,2,1,0,0.0,0
13437,flagged,z9856,tile_y1344_x2688,9897,1669,2811,2,1,0,0.0,0
13437,control,z9856,tile_y1344_x2688,9897,1699,2811,2,1,0,0.0,0
13438,flagged,z9856,tile_y1344_x2688,9899,1807,3030,2,1,0,0.0,0
13438,control,z9856,tile_y1344_x2688,9899,1837,3030,2,1,0,0.0,0
13441,flagged,z9856,tile_y1344_x2688,9906,1537,2992,2,1,0,0.0,0
13441,control,z9856,tile_y1344_x2688,9906,1567,2992,2,1,0,0.0,0
13442,flagged,z9856,tile_y1344_x2688,9907,1571,2859,2,1,0,0.0,0
13442,control,z9856,tile_y1344_x2688,9907,1601,2859,2,1,0,0.0,0
13443,flagged,z9856,tile_y1344_x2688,9908,1618,2848,2,1,0,0.0,0
13443,control,z9856,tile_y1344_x2688,9908,1648,2848,2,1,0,0.0,0
13444,flagged,z9856,tile_y1344_x2688,9909,1597,2888,2,1,0,0.0,0
13444,control,z9856,tile_y1344_x2688,9909,1627,2888,2,1,0,0.0,0
13445,flagged,z9856,tile_y1344_x2688,9913,1571,2766,2,1,1,0.1573,1441681
13445,control,z9856,tile_y1344_x2688,9913,1601,2766,2,1,0,0.0,0
13446,flagged,z9856,tile_y1344_x2688,9916,1587,2985,2,1,0,0.0,0
13446,control,z9856,tile_y1344_x2688,9916,1617,2985,2,1,0,0.0,0
13447,flagged,z9856,tile_y1344_x2688,9917,1573,2921,2,1,0,0.0,0
13447,control,z9856,tile_y1344_x2688,9917,1603,2921,2,1,0,0.0,0
13448,flagged,z9856,tile_y1344_x2688,9918,1800,2867,2,1,0,0.0,0
13448,control,z9856,tile_y1344_x2688,9918,1830,2867,2,1,0,0.0,0
13449,flagged,z9856,tile_y1344_x2688,9927,1563,2855,2,1,1,0.1573,1441681
13449,control,z9856,tile_y1344_x2688,9927,1593,2855,2,1,0,0.0,0
13450,flagged,z9856,tile_y1344_x2688,9929,1655,2762,2,1,1,0.1573,1441681
13450,control,z9856,tile_y1344_x2688,9929,1685,2762,2,1,1,0.1573,1441681
13452,flagged,z9856,tile_y1344_x2688,9932,1764,2770,2,1,0,0.0,0
13452,control,z9856,tile_y1344_x2688,9932,1794,2770,2,1,0,0.0,0
13453,flagged,z9856,tile_y1344_x2688,9935,1561,2941,2,1,0,0.0,0
13453,control,z9856,tile_y1344_x2688,9935,1591,2941,2,1,0,0.0,0
13454,flagged,z9856,tile_y1344_x2688,9935,1786,2838,2,1,0,0.0,0
13454,control,z9856,tile_y1344_x2688,9935,1816,2838,2,1,0,0.0,0
13455,flagged,z9856,tile_y1344_x2688,9937,1804,2886,2,1,0,0.0,0
13455,control,z9856,tile_y1344_x2688,9937,1834,2886,2,1,0,0.0,0
13456,flagged,z9856,tile_y1344_x2688,9938,1690,2788,2,1,1,0.1573,1441681
13456,control,z9856,tile_y1344_x2688,9938,1720,2788,2,1,0,0.0,0
13458,flagged,z9856,tile_y1344_x2688,9945,1567,2970,2,1,0,0.0,0
13458,control,z9856,tile_y1344_x2688,9945,1597,2970,2,1,0,0.0,0
13459,flagged,z9856,tile_y1344_x2688,9955,1577,2946,2,1,0,0.0,0
13459,control,z9856,tile_y1344_x2688,9955,1607,2946,2,1,0,0.0,0
13460,flagged,z9856,tile_y1344_x2688,9955,1688,2865,1,1,1,0.1573,1441681
13460,control,z9856,tile_y1344_x2688,9955,1718,2865,1,1,0,0.0,0
13461,flagged,z9856,tile_y1344_x2688,9956,1557,2733,2,1,0,0.0,0
13461,control,z9856,tile_y1344_x2688,9956,1587,2733,2,1,0,0.0,0
13462,flagged,z9856,tile_y1344_x2688,9960,1580,2990,2,1,0,0.0,0
13462,control,z9856,tile_y1344_x2688,9960,1610,2990,2,1,0,0.0,0
13463,flagged,z9856,tile_y1344_x2688,9961,1615,2834,1,1,0,0.0,0
13463,control,z9856,tile_y1344_x2688,9961,1645,2834,1,1,0,0.0,0
13464,flagged,z9856,tile_y1344_x2688,9962,1820,2790,2,1,1,0.0761,697850
13464,control,z9856,tile_y1344_x2688,9962,1850,2790,2,1,0,0.0,0
13465,flagged,z9856,tile_y1344_x2688,9963,1693,2758,2,1,0,0.0,0
13465,control,z9856,tile_y1344_x2688,9963,1723,2758,2,1,0,0.0,0
13466,flagged,z9856,tile_y1344_x2688,9964,1625,3000,1,1,0,0.0,0
13466,control,z9856,tile_y1344_x2688,9964,1655,3000,1,1,0,0.0,0
13467,flagged,z9856,tile_y1344_x2688,9964,1704,2792,2,1,1,0.1573,1441681
13467,control,z9856,tile_y1344_x2688,9964,1734,2792,2,1,0,0.0,0
13468,flagged,z9856,tile_y1344_x2688,9966,1768,2755,2,1,1,0.0761,697850
13468,control,z9856,tile_y1344_x2688,9966,1798,2755,2,1,1,0.0761,697850
13469,flagged,z9856,tile_y1344_x2688,9969,1815,2935,2,1,0,0.0,0
13469,control,z9856,tile_y1344_x2688,9969,1845,2935,2,1,0,0.0,0
13470,flagged,z9856,tile_y1344_x2688,9977,1708,2743,2,1,0,0.0,0
13470,control,z9856,tile_y1344_x2688,9977,1738,2743,2,1,0,0.0,0
13471,flagged,z9856,tile_y1344_x2688,9979,1642,2911,2,1,0,0.0,0
13471,control,z9856,tile_y1344_x2688,9979,1672,2911,2,1,0,0.0,0
13472,flagged,z9856,tile_y1344_x2688,9981,1695,2923,2,1,0,0.0,0
13472,control,z9856,tile_y1344_x2688,9981,1725,2923,2,1,0,0.0,0
13473,flagged,z9856,tile_y1344_x2688,9981,1705,2828,2,1,0,0.0,0
13473,control,z9856,tile_y1344_x2688,9981,1735,2828,2,1,0,0.0,0
13474,flagged,z9856,tile_y1344_x2688,9982,1776,2988,2,1,0,0.0,0
13474,control,z9856,tile_y1344_x2688,9982,1806,2988,2,1,0,0.0,0
13475,flagged,z9856,tile_y1344_x2688,9983,1785,2932,2,1,0,0.0,0
13475,control,z9856,tile_y1344_x2688,9983,1815,2932,2,1,0,0.0,0
13803,flagged,z9856,tile_y1792_x2240,9889,1876,2648,2,1,0,0.0,0
13803,control,z9856,tile_y1792_x2240,9889,1906,2648,2,1,0,0.0,0
13809,flagged,z9856,tile_y1792_x2240,9901,1961,2658,2,1,0,0.0,0
13809,control,z9856,tile_y1792_x2240,9901,1991,2658,2,1,0,0.0,0
13810,flagged,z9856,tile_y1792_x2240,9904,1889,2709,2,1,0,0.0,0
13810,control,z9856,tile_y1792_x2240,9904,1919,2709,2,1,0,0.0,0
13811,flagged,z9856,tile_y1792_x2240,9904,1993,2716,2,1,0,0.0,0
13811,control,z9856,tile_y1792_x2240,9904,2023,2716,2,1,0,0.0,0
13815,flagged,z9856,tile_y1792_x2240,9924,2033,2702,2,1,0,0.0,0
13815,control,z9856,tile_y1792_x2240,9924,2063,2702,2,0,0,0.0,0
13820,flagged,z9856,tile_y1792_x2240,9937,2002,2696,2,1,0,0.0,0
13820,control,z9856,tile_y1792_x2240,9937,2032,2696,2,1,0,0.0,0
13827,flagged,z9856,tile_y1792_x2240,9956,1841,2563,2,1,0,0.0,0
13827,control,z9856,tile_y1792_x2240,9956,1871,2563,2,1,0,0.0,0
13828,flagged,z9856,tile_y1792_x2240,9958,1951,2677,2,1,0,0.0,0
13828,control,z9856,tile_y1792_x2240,9958,1981,2677,2,1,0,0.0,0
13831,flagged,z9856,tile_y1792_x2240,9962,1973,2645,2,1,0,0.0,0
13831,control,z9856,tile_y1792_x2240,9962,2003,2645,2,1,0,0.0,0
13833,flagged,z9856,tile_y1792_x2240,9964,1951,2614,2,1,0,0.0,0
13833,control,z9856,tile_y1792_x2240,9964,1981,2614,2,1,0,0.0,0
13835,flagged,z9856,tile_y1792_x2240,9981,1935,2642,1,1,0,0.0,0
13835,control,z9856,tile_y1792_x2240,9981,1965,2642,1,1,0,0.0,0
13837,flagged,z9856,tile_y1792_x2240,9983,1843,2699,2,1,1,0.0761,697850
13837,control,z9856,tile_y1792_x2240,9983,1873,2699,2,1,0,0.0,0
13872,flagged,z9856,tile_y1792_x2688,9889,1857,2845,2,1,0,0.0,0
13872,control,z9856,tile_y1792_x2688,9889,1887,2845,2,1,0,0.0,0
13873,flagged,z9856,tile_y1792_x2688,9889,2019,2852,2,1,0,0.0,0
13873,control,z9856,tile_y1792_x2688,9889,2049,2852,2,0,0,0.0,0
13874,flagged,z9856,tile_y1792_x2688,9890,2033,2945,2,1,0,0.0,0
13874,control,z9856,tile_y1792_x2688,9890,2063,2945,2,0,0,0.0,0
13875,flagged,z9856,tile_y1792_x2688,9892,1968,2888,2,1,0,0.0,0
13875,control,z9856,tile_y1792_x2688,9892,1998,2888,2,1,0,0.0,0
13876,flagged,z9856,tile_y1792_x2688,9892,2017,2762,2,1,0,0.0,0
13876,control,z9856,tile_y1792_x2688,9892,2047,2762,2,1,0,0.0,0
13879,flagged,z9856,tile_y1792_x2688,9898,1890,2828,1,1,0,0.0,0
13879,control,z9856,tile_y1792_x2688,9898,1920,2828,1,1,1,0.0761,697850
13880,flagged,z9856,tile_y1792_x2688,9899,2022,2886,2,1,0,0.0,0
13880,control,z9856,tile_y1792_x2688,9899,2052,2886,2,0,0,0.0,0
13882,flagged,z9856,tile_y1792_x2688,9901,1851,2759,2,1,1,0.0761,697850
13882,control,z9856,tile_y1792_x2688,9901,1881,2759,2,1,0,0.0,0
13883,flagged,z9856,tile_y1792_x2688,9904,1852,2859,2,1,0,0.0,0
13883,control,z9856,tile_y1792_x2688,9904,1882,2859,2,1,0,0.0,0
13885,flagged,z9856,tile_y1792_x2688,9906,1861,2766,2,1,1,0.0761,697850
13885,control,z9856,tile_y1792_x2688,9906,1891,2766,2,1,0,0.0,0
13888,flagged,z9856,tile_y1792_x2688,9909,2006,2906,1,1,0,0.0,0
13888,control,z9856,tile_y1792_x2688,9909,2036,2906,1,1,0,0.0,0
13889,flagged,z9856,tile_y1792_x2688,9916,1855,2776,1,1,1,0.0761,697850
13889,control,z9856,tile_y1792_x2688,9916,1885,2776,1,1,1,0.0761,697850
13890,flagged,z9856,tile_y1792_x2688,9919,1897,2845,2,1,0,0.0,0
13890,control,z9856,tile_y1792_x2688,9919,1927,2845,2,1,1,0.0761,697850
13891,flagged,z9856,tile_y1792_x2688,9920,2014,2934,2,1,0,0.0,0
13891,control,z9856,tile_y1792_x2688,9920,2044,2934,2,1,0,0.0,0
13893,flagged,z9856,tile_y1792_x2688,9922,1942,2849,2,1,1,0.0761,697850
13893,control,z9856,tile_y1792_x2688,9922,1972,2849,2,1,0,0.0,0
13895,flagged,z9856,tile_y1792_x2688,9923,1968,3052,2,1,0,0.0,0
13895,control,z9856,tile_y1792_x2688,9923,1998,3052,2,1,0,0.0,0
13896,flagged,z9856,tile_y1792_x2688,9923,1991,2760,2,1,0,0.0,0
13896,control,z9856,tile_y1792_x2688,9923,2021,2760,2,1,0,0.0,0
13899,flagged,z9856,tile_y1792_x2688,9930,1880,2804,2,1,0,0.0,0
13899,control,z9856,tile_y1792_x2688,9930,1910,2804,2,1,1,0.0761,697850
13900,flagged,z9856,tile_y1792_x2688,9931,1874,2820,2,1,1,0.0761,697850
13900,control,z9856,tile_y1792_x2688,9931,1904,2820,2,1,0,0.0,0
13902,flagged,z9856,tile_y1792_x2688,9932,2027,2741,2,1,0,0.0,0
13902,control,z9856,tile_y1792_x2688,9932,2057,2741,2,0,0,0.0,0
13903,flagged,z9856,tile_y1792_x2688,9933,2033,2944,2,1,0,0.0,0
13903,control,z9856,tile_y1792_x2688,9933,2063,2944,2,0,0,0.0,0
13906,flagged,z9856,tile_y1792_x2688,9936,1841,2889,2,1,0,0.0,0
13906,control,z9856,tile_y1792_x2688,9936,1871,2889,2,1,0,0.0,0
13907,flagged,z9856,tile_y1792_x2688,9937,1847,3004,2,1,0,0.0,0
13907,control,z9856,tile_y1792_x2688,9937,1877,3004,2,1,0,0.0,0
13908,flagged,z9856,tile_y1792_x2688,9945,1854,2766,2,1,1,0.0761,697850
13908,control,z9856,tile_y1792_x2688,9945,1884,2766,2,1,0,0.0,0
13910,flagged,z9856,tile_y1792_x2688,9947,1990,3020,2,1,0,0.0,0
13910,control,z9856,tile_y1792_x2688,9947,2020,3020,2,1,0,0.0,0
13911,flagged,z9856,tile_y1792_x2688,9948,1919,2979,1,1,0,0.0,0
13911,control,z9856,tile_y1792_x2688,9948,1949,2979,1,1,0,0.0,0
13913,flagged,z9856,tile_y1792_x2688,9952,1899,2892,2,1,1,0.0761,697850
13913,control,z9856,tile_y1792_x2688,9952,1929,2892,2,1,0,0.0,0
13915,flagged,z9856,tile_y1792_x2688,9955,1927,2895,2,1,0,0.0,0
13915,control,z9856,tile_y1792_x2688,9955,1957,2895,2,1,0,0.0,0
13917,flagged,z9856,tile_y1792_x2688,9959,1902,2810,2,1,1,0.0761,697850
13917,control,z9856,tile_y1792_x2688,9959,1932,2810,2,1,1,0.0761,697850
13918,flagged,z9856,tile_y1792_x2688,9965,1902,2823,2,1,1,0.0761,697850
13918,control,z9856,tile_y1792_x2688,9965,1932,2823,2,1,1,0.0761,697850
13919,flagged,z9856,tile_y1792_x2688,9970,1899,2860,2,1,1,0.0761,697850
13919,control,z9856,tile_y1792_x2688,9970,1929,2860,2,1,0,0.0,0
13921,flagged,z9856,tile_y1792_x2688,9973,1978,2770,1,1,0,0.0,0
13921,control,z9856,tile_y1792_x2688,9973,2008,2770,1,1,0,0.0,0
13922,flagged,z9856,tile_y1792_x2688,9974,1998,2893,1,1,0,0.0,0
13922,control,z9856,tile_y1792_x2688,9974,2028,2893,1,1,0,0.0,0
13924,flagged,z9856,tile_y1792_x2688,9975,1902,2773,2,1,0,0.0,0
13924,control,z9856,tile_y1792_x2688,9975,1932,2773,2,1,0,0.0,0
13925,flagged,z9856,tile_y1792_x2688,9976,1935,2847,2,1,0,0.0,0
13925,control,z9856,tile_y1792_x2688,9976,1965,2847,2,1,0,0.0,0
13926,flagged,z9856,tile_y1792_x2688,9979,1986,2864,2,1,0,0.0,0
13926,control,z9856,tile_y1792_x2688,9979,2016,2864,2,1,0,0.0,0
13927,flagged,z9856,tile_y1792_x2688,9981,1850,2974,2,1,0,0.0,0
13927,control,z9856,tile_y1792_x2688,9981,1880,2974,2,1,0,0.0,0
13928,flagged,z9856,tile_y1792_x2688,9981,1984,2990,2,1,0,0.0,0
13928,control,z9856,tile_y1792_x2688,9981,2014,2990,2,1,0,0.0,0
13930,flagged,z9856,tile_y1792_x2688,9982,1877,2894,2,1,0,0.0,0
13930,control,z9856,tile_y1792_x2688,9982,1907,2894,2,1,0,0.0,0
13931,flagged,z9856,tile_y1792_x2688,9982,2041,2836,2,1,0,0.0,0
13931,control,z9856,tile_y1792_x2688,9982,2071,2836,2,0,0,0.0,0
13394,flagged,z9856,tile_y1344_x2240,9997,1625,2717,2,1,0,0.0,0
13394,control,z9856,tile_y1344_x2240,9997,1655,2717,2,1,1,0.0993,882151
13397,flagged,z9856,tile_y1344_x2240,10003,1728,2664,2,1,1,0.0384,341199
13397,control,z9856,tile_y1344_x2240,10003,1758,2664,2,1,1,0.0384,341199
13398,flagged,z9856,tile_y1344_x2240,10005,1620,2631,2,1,0,0.0,0
13398,control,z9856,tile_y1344_x2240,10005,1650,2631,2,1,0,0.0,0
13402,flagged,z9856,tile_y1344_x2240,10016,1582,2573,2,1,0,0.0,0
13402,control,z9856,tile_y1344_x2240,10016,1612,2573,2,1,0,0.0,0
13404,flagged,z9856,tile_y1344_x2240,10020,1604,2664,2,1,0,0.0,0
13404,control,z9856,tile_y1344_x2240,10020,1634,2664,2,1,0,0.0,0
13405,flagged,z9856,tile_y1344_x2240,10023,1764,2627,2,1,1,0.0384,341199
13405,control,z9856,tile_y1344_x2240,10023,1794,2627,2,1,0,0.0,0
13408,flagged,z9856,tile_y1344_x2240,10025,1817,2672,2,1,1,0.0384,341199
13408,control,z9856,tile_y1344_x2240,10025,1847,2672,2,1,0,0.0,0
13412,flagged,z9856,tile_y1344_x2240,10032,1642,2715,2,1,0,0.0,0
13412,control,z9856,tile_y1344_x2240,10032,1672,2715,2,1,1,0.0993,882151
13421,flagged,z9856,tile_y1344_x2240,10057,1712,2718,2,1,1,0.0993,882151
13421,control,z9856,tile_y1344_x2240,10057,1742,2718,2,1,0,0.0,0
13422,flagged,z9856,tile_y1344_x2240,10057,1766,2719,2,1,0,0.0,0
13422,control,z9856,tile_y1344_x2240,10057,1796,2719,2,1,0,0.0,0
13476,flagged,z9856,tile_y1344_x2688,9984,1808,2758,2,1,0,0.0,0
13476,control,z9856,tile_y1344_x2688,9984,1838,2758,2,1,0,0.0,0
13477,flagged,z9856,tile_y1344_x2688,9985,1667,2944,2,1,1,0.0588,522173
13477,control,z9856,tile_y1344_x2688,9985,1697,2944,2,1,0,0.0,0
13478,flagged,z9856,tile_y1344_x2688,9989,1711,2933,1,1,1,0.0588,522173
13478,control,z9856,tile_y1344_x2688,9989,1741,2933,1,1,0,0.0,0
13479,flagged,z9856,tile_y1344_x2688,9990,1671,2985,2,1,1,0.0588,522173
13479,control,z9856,tile_y1344_x2688,9990,1701,2985,2,1,1,0.0588,522173
13480,flagged,z9856,tile_y1344_x2688,9991,1746,2811,2,1,1,0.0993,882151
13480,control,z9856,tile_y1344_x2688,9991,1776,2811,2,1,0,0.0,0
13481,flagged,z9856,tile_y1344_x2688,9993,1748,2969,2,1,1,0.0588,522173
13481,control,z9856,tile_y1344_x2688,9993,1778,2969,2,1,1,0.0548,486780
13482,flagged,z9856,tile_y1344_x2688,9996,1563,2754,2,1,0,0.0,0
13482,control,z9856,tile_y1344_x2688,9996,1593,2754,2,1,0,0.0,0
13483,flagged,z9856,tile_y1344_x2688,9996,1810,2881,2,1,0,0.0,0
13483,control,z9856,tile_y1344_x2688,9996,1840,2881,2,1,1,0.0548,486780
13484,flagged,z9856,tile_y1344_x2688,9997,1787,2957,2,1,1,0.0548,486780
13484,control,z9856,tile_y1344_x2688,9997,1817,2957,2,1,0,0.0,0
13485,flagged,z9856,tile_y1344_x2688,9999,1675,2758,2,1,1,0.0993,882151
13485,control,z9856,tile_y1344_x2688,9999,1705,2758,2,1,0,0.0,0
13486,flagged,z9856,tile_y1344_x2688,9999,1767,2838,1,1,0,0.0,0
13486,control,z9856,tile_y1344_x2688,9999,1797,2838,1,1,0,0.0,0
13487,flagged,z9856,tile_y1344_x2688,9999,1823,2921,2,1,1,0.0548,486780
13487,control,z9856,tile_y1344_x2688,9999,1853,2921,2,1,1,0.0548,486780
13488,flagged,z9856,tile_y1344_x2688,10001,1763,2753,2,1,1,0.0384,341199
13488,control,z9856,tile_y1344_x2688,10001,1793,2753,2,1,0,0.0,0
13489,flagged,z9856,tile_y1344_x2688,10002,1700,2795,2,1,1,0.0993,882151
13489,control,z9856,tile_y1344_x2688,10002,1730,2795,2,1,0,0.0,0
13490,flagged,z9856,tile_y1344_x2688,10006,1676,2781,2,1,1,0.0993,882151
13490,control,z9856,tile_y1344_x2688,10006,1706,2781,2,1,0,0.0,0
13491,flagged,z9856,tile_y1344_x2688,10009,1775,2758,2,1,1,0.0384,341199
13491,control,z9856,tile_y1344_x2688,10009,1805,2758,2,1,0,0.0,0
13492,flagged,z9856,tile_y1344_x2688,10010,1673,2730,1,1,1,0.0993,882151
13492,control,z9856,tile_y1344_x2688,10010,1703,2730,1,1,0,0.0,0
13493,flagged,z9856,tile_y1344_x2688,10015,1697,2919,2,1,0,0.0,0
13493,control,z9856,tile_y1344_x2688,10015,1727,2919,2,1,0,0.0,0
13494,flagged,z9856,tile_y1344_x2688,10021,1772,2976,2,1,0,0.0,0
13494,control,z9856,tile_y1344_x2688,10021,1802,2976,2,1,0,0.0,0
13495,flagged,z9856,tile_y1344_x2688,10022,1799,2758,2,1,0,0.0,0
13495,control,z9856,tile_y1344_x2688,10022,1829,2758,2,1,0,0.0,0
13496,flagged,z9856,tile_y1344_x2688,10023,1602,2794,2,1,0,0.0,0
13496,control,z9856,tile_y1344_x2688,10023,1632,2794,2,1,0,0.0,0
13497,flagged,z9856,tile_y1344_x2688,10023,1696,2762,2,1,1,0.0993,882151
13497,control,z9856,tile_y1344_x2688,10023,1726,2762,2,1,0,0.0,0
13498,flagged,z9856,tile_y1344_x2688,10024,1680,2851,2,1,1,0.0993,882151
13498,control,z9856,tile_y1344_x2688,10024,1710,2851,2,1,0,0.0,0
13499,flagged,z9856,tile_y1344_x2688,10025,1615,2871,2,1,1,0.0993,882151
13499,control,z9856,tile_y1344_x2688,10025,1645,2871,2,1,0,0.0,0
13500,flagged,z9856,tile_y1344_x2688,10026,1646,2790,2,1,1,0.0993,882151
13500,control,z9856,tile_y1344_x2688,10026,1676,2790,2,1,0,0.0,0
13501,flagged,z9856,tile_y1344_x2688,10026,1775,2903,2,1,1,0.0548,486780
13501,control,z9856,tile_y1344_x2688,10026,1805,2903,2,1,0,0.0,0
13502,flagged,z9856,tile_y1344_x2688,10027,1821,2956,2,1,1,0.0548,486780
13502,control,z9856,tile_y1344_x2688,10027,1851,2956,2,1,1,0.0548,486780
13503,flagged,z9856,tile_y1344_x2688,10028,1741,2879,2,1,1,0.0993,882151
13503,control,z9856,tile_y1344_x2688,10028,1771,2879,2,1,0,0.0,0
13505,flagged,z9856,tile_y1344_x2688,10030,1705,2913,2,1,0,0.0,0
