slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,decision,scorable,predicted_agreement,mass_context
z10080,tile_y1344_x0,10117,1808,322,37,464,322,524,565,535,1.88,0.54,3,SPLIT,1,0.9239,1.5287
z10080,tile_y1344_x0,10122,1488,421,42,144,421,115,130,1,1.75,0.411,3,SPLIT,1,0.1467,0.7305
z10080,tile_y1344_x0,10123,1575,401,43,231,401,567,539,570,3.5,0.309,3,SPLIT,1,0.7802,0.997
z10080,tile_y1344_x0,10133,1612,416,53,268,416,561,23,174,1.62,0.457,3,SPLIT,1,0.7802,0.9579
z10080,tile_y1344_x0,10136,1590,391,56,246,391,570,567,152,3.25,0.16,3,SPLIT,1,0.6956,1.0262
z10080,tile_y1344_x0,10137,1434,409,57,90,409,161,130,115,2.12,0.554,3,SPLIT,1,0.2783,0.8826
z10080,tile_y1344_x0,10139,1763,339,59,419,339,572,105,554,1.75,0.327,3,SPLIT,1,0.8458,1.1057
z10080,tile_y1344_x0,10141,1757,332,61,413,332,586,572,583,2.38,0.535,3,SPLIT,1,0.7597,1.1337
z10080,tile_y1344_x0,10142,1619,387,62,275,387,585,530,561,1.62,0.679,3,SPLIT,1,0.8313,1.0291
z10080,tile_y1344_x0,10143,1458,423,63,114,423,130,165,594,3.25,0.308,3,SPLIT,1,0.2946,0.8818
z10080,tile_y1344_x0,10144,1616,378,64,272,378,530,561,595,2.88,0.368,3,SPLIT,1,0.7674,1.0376
z10080,tile_y1344_x0,10145,1456,393,65,112,393,115,176,155,3.5,0.231,3,SPLIT,1,0.0731,0.7935
z10080,tile_y1344_x0,10148,1556,449,68,212,449,10,184,173,2.12,0.116,3,SPLIT,1,0.2395,0.9228
z10080,tile_y1344_x0,10153,1502,402,73,158,402,130,115,623,3.62,0.111,3,SPLIT,1,0.1026,0.8306
z10080,tile_y1344_x0,10153,1521,435,73,177,435,178,203,145,2.62,0.247,3,SPLIT,1,0.1853,0.8772
z10080,tile_y1344_x0,10154,1617,393,74,273,393,561,530,600,4.38,0.322,3,SPLIT,1,0.6806,0.9622
z10080,tile_y1344_x0,10155,1552,386,75,208,386,200,190,160,1.75,0.355,3,SPLIT,1,0.6141,0.9158
z10080,tile_y1344_x0,10157,1556,405,77,212,405,570,184,190,1.62,0.415,3,SPLIT,0,,
z10080,tile_y1344_x0,10157,1576,401,77,232,401,570,192,625,1.75,0.13,3,SPLIT,1,0.4,0.9639
z10080,tile_y1344_x0,10160,1778,337,80,434,337,470,664,599,2.75,0.275,3,SPLIT,1,0.9173,1.0828
z10080,tile_y1344_x0,10168,1765,324,88,421,324,664,470,663,2.12,0.472,3,SPLIT,0,,
z10080,tile_y1344_x0,10176,1549,444,96,205,444,192,116,10,3.25,0.2,3,SPLIT,0,,
z10080,tile_y1344_x0,10177,1680,380,97,336,380,616,648,807,3.5,0.461,3,SPLIT,1,0.9094,1.0189
z10080,tile_y1344_x0,10182,1476,449,102,132,449,746,734,741,3.38,0.797,3,SPLIT,1,0.8058,1.0019
z10080,tile_y1344_x0,10185,1616,430,105,272,430,238,616,241,2.12,0.245,3,SPLIT,1,0.1016,0.8271
z10080,tile_y1344_x0,10189,1474,421,109,130,421,734,660,741,3.25,0.519,3,SPLIT,1,0.9208,1.041
z10080,tile_y1344_x0,10189,1499,431,109,155,431,734,746,660,1.62,0.48,3,SPLIT,1,0.8497,1.0107
z10080,tile_y1344_x0,10197,1489,460,117,145,460,734,759,116,2.38,0.498,3,SPLIT,1,0.7291,1.0511
z10080,tile_y1344_x0,10199,1645,444,119,301,444,687,616,737,2.38,0.352,3,SPLIT,1,0.617,0.9588
z10080,tile_y1344_x0,10203,1671,383,123,327,383,731,807,783,1.62,0.441,3,SPLIT,1,0.3052,0.8674
z10080,tile_y1344_x0,10204,1445,441,124,101,441,741,746,734,1.62,0.309,3,SPLIT,1,0.6683,0.9899
z10080,tile_y1344_x0,10218,1415,440,138,71,440,57,290,708,3.25,0.337,3,SPLIT,1,0.1076,0.8138
z10080,tile_y1344_x0,10224,1682,413,144,338,413,292,311,770,2.0,0.35,3,SPLIT,1,0.1003,0.7658
z10080,tile_y1344_x0,10226,1608,442,146,264,442,873,301,783,2.12,0.267,3,SPLIT,1,0.3758,0.9437
z10080,tile_y1344_x0,10228,1638,464,148,294,464,784,770,806,6.12,0.276,3,SPLIT,1,0.8734,1.0824
z10080,tile_y1344_x0,10235,1644,432,155,300,432,815,787,770,3.12,0.321,3,SPLIT,1,0.2786,0.8571
z10080,tile_y1344_x0,10247,1792,443,167,448,443,789,229,304,2.25,0.343,3,SPLIT,0,,
z10080,tile_y1344_x0,10249,1686,438,169,342,438,337,312,830,1.75,0.62,3,SPLIT,0,,
z10080,tile_y1344_x0,10252,1709,448,172,365,448,830,357,855,3.25,0.483,3,SPLIT,0,,
z10080,tile_y1344_x0,10253,1579,389,173,235,389,345,316,328,2.62,0.465,3,SPLIT,1,0.0778,0.7293
z10080,tile_y1344_x0,10261,1614,426,181,270,426,346,328,302,3.75,0.315,3,SPLIT,1,0.0765,0.7579
z10080,tile_y1344_x0,10266,1577,437,186,233,437,328,349,863,3.5,0.172,3,SPLIT,1,0.2652,0.8983
z10080,tile_y1344_x0,10286,1754,437,206,410,437,948,921,373,3.5,0.375,3,SPLIT,1,0.9341,1.1773
z10080,tile_y1344_x0,10288,1495,456,208,151,456,340,362,374,1.62,0.503,3,SPLIT,1,0.6999,0.9748
z10080,tile_y1344_x0,10298,1578,457,218,234,457,935,355,863,2.38,0.657,3,SPLIT,1,0.3522,0.8783
z10080,tile_y1344_x0,10301,1646,469,221,302,469,919,943,913,2.88,0.466,3,SPLIT,0,,
z10080,tile_y1344_x0,10301,1812,457,221,468,457,971,944,926,3.12,0.405,3,SPLIT,1,0.8719,1.0109
z10080,tile_y1344_x1344,10114,1461,1730,34,117,386,401,36,508,3.0,0.465,3,SPLIT,1,0.0789,0.7973
z10080,tile_y1344_x1344,10120,1565,1666,40,221,322,368,601,336,2.14,0.359,3,SPLIT,0,,
z10080,tile_y1344_x1344,10121,1491,1683,41,147,339,407,1136,363,3.29,0.51,3,SPLIT,1,0.2511,0.8746
z10080,tile_y1344_x1344,10121,1499,1425,41,155,81,375,467,296,3.71,0.317,3,SPLIT,1,0.0812,0.7995
z10080,tile_y1344_x1344,10121,1716,1398,41,372,54,109,389,266,5.86,0.209,3,SPLIT,1,0.0918,0.7996
z10080,tile_y1344_x1344,10121,1761,1391,41,417,47,138,385,697,3.71,0.128,3,SPLIT,1,0.0754,0.8217
z10080,tile_y1344_x1344,10124,1381,1595,44,37,251,26,270,449,2.14,0.303,3,SPLIT,0,,
z10080,tile_y1344_x1344,10126,1670,1541,46,326,197,1718,1846,1865,4.29,0.269,3,SPLIT,1,0.1046,0.8484
z10080,tile_y1344_x1344,10126,1723,1804,46,379,460,1806,1776,1788,3.71,0.247,3,SPLIT,1,0.4677,0.9872
z10080,tile_y1344_x1344,10127,1688,1612,47,344,268,350,551,503,2.43,0.198,3,SPLIT,1,0.1577,0.8927
z10080,tile_y1344_x1344,10130,1809,1729,50,465,385,1829,1940,1866,5.14,0.443,3,SPLIT,1,0.9444,1.186
z10080,tile_y1344_x1344,10135,1627,1623,55,283,279,516,354,459,3.71,0.377,3,SPLIT,1,0.0851,0.8164
z10080,tile_y1344_x1344,10138,1469,1452,58,125,108,467,604,734,2.14,0.687,3,SPLIT,0,,
z10080,tile_y1344_x1344,10138,1691,1760,58,347,416,1920,1852,1879,4.0,0.356,3,SPLIT,1,0.7932,0.9347
z10080,tile_y1344_x1344,10138,1693,1780,58,349,436,1879,1848,1805,3.71,0.351,3,SPLIT,1,0.8822,0.9855
z10080,tile_y1344_x1344,10138,1769,1735,58,425,391,1835,1855,1916,3.29,0.56,3,SPLIT,1,0.8369,1.0199
z10080,tile_y1344_x1344,10143,1426,1535,63,82,191,624,1826,1902,2.43,0.299,3,SPLIT,1,0.1959,0.8727
z10080,tile_y1344_x1344,10146,1457,1458,66,113,114,604,2023,656,2.14,0.274,3,SPLIT,1,0.0783,0.8026
z10080,tile_y1344_x1344,10148,1778,1653,68,434,309,1943,391,1913,4.0,0.485,3,SPLIT,1,0.8112,1.0369
z10080,tile_y1344_x1344,10149,1740,1461,69,396,117,266,534,713,5.0,0.125,3,SPLIT,1,0.0961,0.8333
z10080,tile_y1344_x1344,10161,1616,1432,81,272,88,109,788,527,3.71,0.564,3,SPLIT,1,0.0829,0.811
z10080,tile_y1344_x1344,10166,1409,1754,86,65,410,598,690,1035,2.43,0.212,3,SPLIT,1,0.4075,0.9166
z10080,tile_y1344_x1344,10167,1727,1426,87,383,82,783,713,266,2.29,0.249,3,SPLIT,1,0.171,0.8519
z10080,tile_y1344_x1344,10168,1520,1425,88,176,81,720,375,871,3.0,0.203,3,SPLIT,0,,
z10080,tile_y1344_x1344,10168,1784,1419,88,440,75,743,810,557,2.71,0.226,3,SPLIT,1,0.049,0.7331
z10080,tile_y1344_x1344,10169,1527,1705,89,183,361,756,784,1136,2.43,0.648,3,SPLIT,1,0.5132,0.9144
z10080,tile_y1344_x1344,10170,1568,1415,90,224,71,819,738,682,2.57,0.15,3,SPLIT,1,0.1211,0.8259
z10080,tile_y1344_x1344,10176,1630,1771,96,286,427,897,847,742,2.29,0.344,3,SPLIT,1,0.4662,0.915
z10080,tile_y1344_x1344,10178,1525,1495,98,181,151,241,2007,845,4.29,0.153,3,SPLIT,1,0.2396,0.8967
z10080,tile_y1344_x1344,10179,1699,1744,99,355,400,857,809,1967,2.86,0.212,3,SPLIT,1,0.0919,0.809
z10080,tile_y1344_x1344,10180,1599,1549,100,255,205,741,941,812,3.71,0.175,3,SPLIT,1,0.1004,0.8414
z10080,tile_y1344_x1344,10187,1721,1735,107,377,391,2063,2044,2092,3.71,0.535,3,SPLIT,1,0.8288,0.9911
z10080,tile_y1344_x1344,10190,1729,1818,110,385,474,870,2009,2045,3.14,0.274,3,SPLIT,1,0.0694,0.7712
z10080,tile_y1344_x1344,10191,1565,1433,111,221,89,928,949,862,3.29,0.299,3,SPLIT,1,0.0575,0.7794
z10080,tile_y1344_x1344,10193,1791,1667,113,447,323,2065,2064,2128,4.0,0.416,3,SPLIT,1,0.7313,0.9291
z10080,tile_y1344_x1344,10194,1542,1508,114,198,164,845,241,1069,4.43,0.153,3,SPLIT,1,0.4014,0.9152
z10080,tile_y1344_x1344,10194,1803,1698,114,459,354,2128,2064,2121,4.86,0.386,3,SPLIT,1,0.2398,0.8565
z10080,tile_y1344_x1344,10198,1401,1719,118,57,375,598,792,972,3.71,0.13,3,SPLIT,1,0.0741,0.8237
z10080,tile_y1344_x1344,10201,1498,1556,121,154,212,692,2058,241,2.14,0.148,3,SPLIT,1,0.0494,0.7721
z10080,tile_y1344_x1344,10201,1560,1522,121,216,178,845,765,1069,2.43,0.193,3,SPLIT,1,0.1875,0.8596
z10080,tile_y1344_x1344,10202,1380,1718,122,36,374,745,891,972,2.29,0.208,3,SPLIT,1,0.0778,0.8394
z10080,tile_y1344_x1344,10203,1614,1565,123,270,221,741,1026,918,2.57,0.185,3,SPLIT,1,0.0718,0.781
z10080,tile_y1344_x1344,10210,1525,1793,130,181,449,1136,1103,997,3.71,0.244,3,SPLIT,1,0.1913,0.8275
z10080,tile_y1344_x1344,10213,1586,1744,133,242,400,1237,1032,1163,2.86,0.34,3,SPLIT,1,0.5889,0.9127
z10080,tile_y1344_x1344,10216,1517,1691,136,173,347,1090,1054,1078,3.71,0.278,3,SPLIT,0,,
z10080,tile_y1344_x1344,10219,1503,1459,139,159,115,874,1210,1053,2.43,0.252,3,SPLIT,1,0.0414,0.664
z10080,tile_y1344_x1344,10225,1540,1523,145,196,179,1069,1144,1051,2.14,0.225,3,SPLIT,1,0.068,0.7535
z10080,tile_y1344_x1344,10225,1721,1649,145,377,305,2184,2178,2107,2.43,0.426,3,SPLIT,1,0.8889,1.0603
z10080,tile_y1344_x1344,10227,1549,1584,147,205,240,918,1242,1241,3.0,0.477,3,SPLIT,1,0.4981,0.8943
z10080,tile_y1344_x1344,10233,1660,1621,153,316,277,2098,2192,2115,3.57,0.477,3,SPLIT,1,0.5842,0.9295
z10080,tile_y1344_x1344,10235,1570,1488,155,226,144,1213,845,1138,2.14,0.316,3,SPLIT,0,,
z10080,tile_y1344_x1344,10239,1635,1653,159,291,309,1238,919,2218,2.57,0.51,3,SPLIT,1,0.5059,0.8976
z10080,tile_y1344_x1344,10240,1658,1731,160,314,387,1214,1105,1249,2.57,0.192,3,SPLIT,1,0.0878,0.8068
z10080,tile_y1344_x1344,10246,1647,1647,166,303,303,2218,2192,2098,2.71,0.201,3,SPLIT,1,0.2119,0.937
z10080,tile_y1344_x1344,10250,1711,1737,170,367,393,2214,1105,2187,3.71,0.384,3,SPLIT,1,0.345,0.8743
z10080,tile_y1344_x1344,10263,1480,1579,183,136,235,2226,1429,692,2.43,0.297,3,SPLIT,0,,
z10080,tile_y1344_x1344,10268,1469,1735,188,125,391,1617,1339,770,3.14,0.235,3,SPLIT,1,0.0429,0.7311
z10080,tile_y1344_x1344,10283,1543,1450,203,199,106,1442,1352,1501,2.43,0.419,3,SPLIT,1,0.0674,0.7736
z10080,tile_y1344_x1344,10284,1392,1712,204,48,368,1408,1507,1407,2.43,0.543,3,SPLIT,1,0.0839,0.8042
z10080,tile_y1344_x1344,10285,1520,1708,205,176,364,1258,1488,1054,2.43,0.271,3,SPLIT,1,0.1544,0.8293
z10080,tile_y1344_x1344,10288,1678,1744,208,334,400,2285,2272,2247,3.43,0.484,3,SPLIT,1,0.4283,0.9063
z10080,tile_y1344_x1344,10289,1384,1677,209,40,333,1407,1408,1387,2.43,0.188,3,SPLIT,1,0.0812,0.7626
z10080,tile_y1344_x1344,10290,1712,1704,210,368,360,2280,2290,2256,2.71,0.238,3,SPLIT,1,0.242,0.9027
z10080,tile_y1344_x1792,10112,1701,1906,32,357,114,777,443,488,2.0,0.233,3,SPLIT,1,0.8635,1.075
z10080,tile_y1344_x1792,10114,1454,2048,34,110,256,389,152,374,1.89,0.16,3,SPLIT,1,0.0808,0.7286
z10080,tile_y1344_x1792,10116,1468,2003,36,124,211,2138,2179,2020,2.22,0.295,3,SPLIT,1,0.7026,1.0315
z10080,tile_y1344_x1792,10117,1730,1976,37,386,184,95,777,198,2.33,0.496,3,SPLIT,0,,
z10080,tile_y1344_x1792,10119,1407,1981,39,63,189,6,337,515,2.33,0.188,3,SPLIT,1,0.2637,0.9236
z10080,tile_y1344_x1792,10119,1628,2010,39,284,218,2281,68,2239,2.11,0.467,3,SPLIT,1,0.7982,0.9811
z10080,tile_y1344_x1792,10122,1460,1838,42,116,46,439,2019,2117,1.89,0.375,3,SPLIT,1,0.5163,0.8906
z10080,tile_y1344_x1792,10123,1625,1910,43,281,118,2228,2218,2091,2.89,0.434,3,SPLIT,1,0.7609,1.0352
z10080,tile_y1344_x1792,10125,1816,1906,45,472,114,126,114,559,2.89,0.102,3,SPLIT,1,0.3414,0.8992
z10080,tile_y1344_x1792,10127,1816,1995,47,472,203,150,397,302,2.11,0.15,3,SPLIT,1,0.6313,0.9889
z10080,tile_y1344_x1792,10133,1548,1891,53,204,99,2344,2437,2278,2.78,0.318,3,SPLIT,1,0.4472,0.9194
z10080,tile_y1344_x1792,10138,1711,2055,58,367,263,572,607,2451,2.22,0.334,3,SPLIT,1,0.1956,0.831
z10080,tile_y1344_x1792,10142,1681,2077,62,337,285,2429,2380,2394,2.22,0.408,3,SPLIT,1,0.7923,0.9703
z10080,tile_y1344_x1792,10144,1670,1982,64,326,190,2386,511,2521,2.11,0.278,3,SPLIT,1,0.5437,0.9331
z10080,tile_y1344_x1792,10146,1803,2217,66,459,425,2408,2223,2382,2.33,0.425,3,SPLIT,1,0.5783,0.9286
z10080,tile_y1344_x1792,10149,1457,1866,69,113,74,495,485,719,2.11,0.386,3,SPLIT,1,0.0847,0.7933
z10080,tile_y1344_x1792,10150,1715,2251,70,371,459,2489,2549,2365,2.89,0.2,3,SPLIT,1,0.6258,0.9739
z10080,tile_y1344_x1792,10154,1563,1929,74,219,137,2515,2375,2492,2.11,0.63,3,SPLIT,0,,
z10080,tile_y1344_x1792,10155,1556,1938,75,212,146,2444,2375,2515,4.44,0.302,3,SPLIT,1,0.6421,0.9795
z10080,tile_y1344_x1792,10155,1822,2162,75,478,370,392,482,753,2.89,0.139,3,SPLIT,1,0.6154,0.9699
z10080,tile_y1344_x1792,10157,1821,2055,77,477,263,629,150,671,2.11,0.393,3,SPLIT,1,0.1364,0.815
z10080,tile_y1344_x1792,10159,1774,2271,79,430,479,2522,2501,2432,2.11,0.289,3,SPLIT,0,,
z10080,tile_y1344_x1792,10159,1800,2088,79,456,296,593,769,863,2.44,0.169,3,SPLIT,1,0.1377,0.821
z10080,tile_y1344_x1792,10162,1593,2071,82,249,279,2485,2484,2516,2.89,0.257,3,SPLIT,1,0.6651,1.043
z10080,tile_y1344_x1792,10171,1574,2087,91,230,295,2485,2516,2589,2.11,0.462,3,SPLIT,1,0.5286,0.8929
z10080,tile_y1344_x1792,10172,1551,1878,92,207,86,2607,2588,2609,2.67,0.36,3,SPLIT,1,0.7729,1.0226
z10080,tile_y1344_x1792,10172,1691,2115,92,347,323,758,2442,598,3.11,0.272,3,SPLIT,0,,
z10080,tile_y1344_x1792,10176,1804,1832,96,460,40,739,864,1001,2.33,0.202,3,SPLIT,1,0.1587,0.8716
z10080,tile_y1344_x1792,10177,1553,1854,97,209,62,2607,2696,642,2.33,0.286,3,SPLIT,1,0.486,0.9466
z10080,tile_y1344_x1792,10178,1751,2002,98,407,210,837,743,1021,2.78,0.242,3,SPLIT,0,,
z10080,tile_y1344_x1792,10179,1631,1883,99,287,91,855,913,882,1.89,0.173,3,SPLIT,1,0.1011,0.8421
z10080,tile_y1344_x1792,10181,1589,1939,101,245,147,793,905,880,2.11,0.136,3,SPLIT,1,0.1392,0.8321
z10080,tile_y1344_x1792,10185,1552,1940,105,208,148,793,2571,854,3.0,0.288,3,SPLIT,1,0.0968,0.8144
z10080,tile_y1344_x1792,10185,1580,2082,105,236,290,2589,2709,879,3.0,0.515,3,SPLIT,1,0.1642,0.8445
z10080,tile_y1344_x1792,10185,1784,2113,105,440,321,760,914,983,2.89,0.177,3,SPLIT,1,0.1587,0.8353
z10080,tile_y1344_x1792,10185,1815,1958,105,471,166,894,903,870,2.0,0.541,3,SPLIT,1,0.3561,0.864
z10080,tile_y1344_x1792,10191,1673,2252,111,329,460,2750,1027,945,2.89,0.133,3,SPLIT,1,0.06,0.7722
z10080,tile_y1344_x1792,10196,1589,2031,116,245,239,2660,2685,2650,3.11,0.49,3,SPLIT,1,0.5885,0.8984
z10080,tile_y1344_x1792,10196,1630,1939,116,286,147,1065,1123,883,2.89,0.604,3,SPLIT,1,0.0771,0.756
z10080,tile_y1344_x1792,10199,1789,2134,119,445,342,760,983,914,2.89,0.216,3,SPLIT,1,0.0832,0.7667
z10080,tile_y1344_x1792,10203,1718,1993,123,374,201,2719,2723,2761,2.89,0.313,3,SPLIT,0,,
z10080,tile_y1344_x1792,10206,1601,2212,126,257,420,441,1176,965,2.56,0.102,3,SPLIT,1,0.0952,0.8653
z10080,tile_y1344_x1792,10206,1715,1987,126,371,195,2723,2719,2699,4.11,0.387,3,SPLIT,1,0.1512,0.8304
z10080,tile_y1344_x1792,10214,1629,1980,134,285,188,1831,1078,2770,2.89,0.4,3,SPLIT,1,0.7936,0.9431
z10080,tile_y1344_x1792,10217,1649,2216,137,305,424,1019,1104,1024,3.11,0.104,3,SPLIT,1,0.1967,0.8669
z10080,tile_y1344_x1792,10218,1795,1927,138,451,135,903,991,1216,1.89,1.0,3,SPLIT,1,0.322,0.8037
z10080,tile_y1344_x1792,10236,1546,2050,156,202,258,1214,1831,1102,2.33,0.423,3,SPLIT,1,0.3439,0.8661
z10080,tile_y1344_x1792,10236,1695,2235,156,351,443,2802,2823,2851,2.33,0.482,3,SPLIT,1,0.2156,0.8353
z10080,tile_y1344_x1792,10239,1404,2188,159,60,396,1334,1265,866,2.89,0.401,3,SPLIT,1,0.0579,0.7506
z10080,tile_y1344_x1792,10241,1664,2165,161,320,373,2869,1459,758,1.89,0.157,3,SPLIT,1,0.4793,1.0061
z10080,tile_y1344_x1792,10245,1726,2147,165,382,355,758,1276,1367,2.22,0.195,3,SPLIT,1,0.1087,0.837
z10080,tile_y1344_x1792,10246,1632,2119,166,288,327,1193,1459,1294,3.56,0.365,3,SPLIT,1,0.3886,0.9071
z10080,tile_y1344_x1792,10248,1428,2121,168,84,329,802,1356,1206,2.11,0.212,3,SPLIT,1,0.2507,0.9021
z10080,tile_y1344_x1792,10258,1529,2143,178,185,351,1381,1450,1087,2.11,0.2,3,SPLIT,0,,
z10080,tile_y1344_x1792,10258,1715,2061,178,371,269,758,999,1328,2.89,0.183,3,SPLIT,0,,
