slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,decision
z10080,tile_y1344_x1344,10177,1648,1744,97,304,400,836,2085,733,2.57,0.144,2,SPLIT
z10080,tile_y1344_x1344,10178,1585,1805,98,241,461,787,1237,865,2.43,0.263,2,SPLIT
z10080,tile_y1344_x1344,10178,1654,1775,98,310,431,2061,1996,2055,2.57,0.32,2,SPLIT
z10080,tile_y1344_x1344,10178,1698,1797,98,354,453,2014,2156,1920,2.29,0.451,2,SPLIT
z10080,tile_y1344_x1344,10181,1480,1580,101,136,236,692,2004,2006,3.43,0.152,2,SPLIT
z10080,tile_y1344_x1344,10184,1440,1610,104,96,266,2102,1988,2048,4.29,0.228,2,SPLIT
z10080,tile_y1344_x1344,10188,1696,1754,108,352,410,2070,857,2112,3.71,0.385,2,SPLIT
z10080,tile_y1344_x1344,10188,1777,1419,108,433,75,697,978,743,2.57,0.457,2,SPLIT
z10080,tile_y1344_x1344,10192,1564,1407,112,220,63,949,738,860,2.14,0.243,2,SPLIT
z10080,tile_y1344_x1344,10195,1512,1640,115,168,296,756,948,1269,4.0,0.226,1,SPLIT
z10080,tile_y1344_x1344,10196,1380,1585,116,36,241,1089,925,1280,2.29,0.923,2,SPLIT
z10080,tile_y1344_x1344,10201,1713,1726,121,369,382,2063,1022,2139,3.0,0.143,2,SPLIT
z10080,tile_y1344_x1344,10202,1725,1681,122,381,337,2140,2138,2107,3.14,0.545,2,SPLIT
z10080,tile_y1344_x1344,10208,1565,1385,128,221,41,738,1139,751,3.14,0.162,2,SPLIT
z10080,tile_y1344_x1344,10210,1517,1757,130,173,413,917,1136,1103,2.14,0.223,2,SPLIT
z10080,tile_y1344_x1344,10210,1748,1749,130,404,405,2164,2112,2010,3.0,0.435,2,SPLIT
z10080,tile_y1344_x1344,10215,1623,1771,135,279,427,960,1237,2095,4.14,0.484,1,SPLIT
z10080,tile_y1344_x1344,10216,1394,1774,136,50,430,1035,1041,1100,2.43,0.262,2,SPLIT
z10080,tile_y1344_x1344,10217,1688,1552,137,344,208,1010,1000,930,2.29,0.407,2,SPLIT
z10080,tile_y1344_x1344,10218,1653,1764,138,309,420,2119,2243,2055,2.14,0.408,2,SPLIT
z10080,tile_y1344_x1344,10223,1485,1478,143,141,134,874,1218,1198,2.57,0.343,2,SPLIT
z10080,tile_y1344_x1344,10230,1735,1746,150,391,402,2164,2194,1219,2.86,0.166,2,SPLIT
z10080,tile_y1344_x1344,10231,1705,1744,151,361,400,2194,1096,1105,3.71,0.388,2,SPLIT
z10080,tile_y1344_x1344,10233,1722,1722,153,378,378,2187,2214,2210,4.43,0.335,1,SPLIT
z10080,tile_y1344_x1344,10233,1742,1647,153,398,303,2195,2178,2217,2.71,0.449,2,SPLIT
z10080,tile_y1344_x1344,10234,1659,1683,154,315,339,2203,2174,2202,3.71,0.401,2,SPLIT
z10080,tile_y1344_x1344,10240,1551,1633,160,207,289,918,1111,1128,3.43,0.29,2,SPLIT
z10080,tile_y1344_x1344,10240,1554,1581,160,210,237,918,1242,1241,4.14,0.176,2,SPLIT
z10080,tile_y1344_x1344,10243,1570,1750,163,226,406,1163,1050,1237,3.57,0.178,2,SPLIT
z10080,tile_y1344_x1344,10246,1489,1786,166,145,442,1136,1127,1301,5.14,0.28,1,SPLIT
z10080,tile_y1344_x1344,10247,1567,1466,167,223,122,1166,845,1324,2.29,0.258,2,SPLIT
z10080,tile_y1344_x1344,10252,1531,1630,172,187,286,1269,1148,1229,2.29,0.206,2,SPLIT
z10080,tile_y1344_x1344,10260,1542,1746,180,198,402,1050,1473,1294,2.0,0.189,2,SPLIT
z10080,tile_y1344_x1344,10265,1429,1593,185,85,249,1181,1197,1300,6.43,0.115,1,SPLIT
z10080,tile_y1344_x1344,10266,1556,1712,186,212,368,1323,1160,1368,2.57,0.459,2,SPLIT
z10080,tile_y1344_x1344,10273,1531,1426,193,187,82,1448,1501,1158,2.0,0.243,2,SPLIT
z10080,tile_y1344_x1344,10278,1697,1715,198,353,371,2290,2292,2271,2.29,0.474,2,SPLIT
z10080,tile_y1344_x1344,10280,1605,1778,200,261,434,1389,1332,1411,3.57,0.247,2,SPLIT
z10080,tile_y1344_x1344,10285,1652,1741,205,308,397,1370,2247,1595,2.14,0.224,2,SPLIT
z10080,tile_y1344_x1344,10285,1692,1662,205,348,318,2276,2278,2203,3.0,0.364,2,SPLIT
z10080,tile_y1344_x1344,10287,1704,1648,207,360,304,2273,2276,2302,2.86,0.316,2,SPLIT
z10080,tile_y1344_x1344,10289,1384,1722,209,40,378,1351,1408,1459,3.43,0.536,2,SPLIT
z10080,tile_y1344_x1344,10289,1428,1812,209,84,468,1539,1472,1447,2.0,0.199,2,SPLIT
z10080,tile_y1344_x1344,10293,1678,1636,213,334,292,2277,2311,2302,2.43,0.366,2,SPLIT
z10080,tile_y1344_x1344,10296,1558,1475,216,214,131,1324,1397,1363,3.29,0.225,2,SPLIT
z10080,tile_y1344_x1344,10298,1524,1734,218,180,390,1294,1575,1050,2.29,0.377,2,SPLIT
z10080,tile_y1344_x1344,10301,1788,1773,221,444,429,1505,1256,1045,3.14,0.798,2,SPLIT
z10080,tile_y1344_x1792,10126,1514,2028,46,170,236,2276,2216,2217,4.22,0.506,1,SPLIT
z10080,tile_y1344_x1792,10127,1585,2265,47,241,473,441,403,53,4.33,0.25,1,SPLIT
z10080,tile_y1344_x1792,10194,1764,2194,114,420,402,2680,2627,2664,4.11,0.491,1,SPLIT
z10080,tile_y1344_x1792,10197,1789,1953,117,445,161,903,1216,549,3.89,0.104,1,SPLIT
z10080,tile_y1344_x1792,10229,1631,2195,149,287,403,1459,1034,1176,3.44,0.248,1,SPLIT
z10080,tile_y1344_x1792,10242,1605,1927,162,261,135,1146,1225,1123,3.56,0.276,1,SPLIT
z10080,tile_y1344_x1792,10297,1500,2091,217,156,299,1449,987,1451,4.78,0.11,1,SPLIT
z10080,tile_y1344_x1792,10301,1466,1883,221,122,91,1298,1678,1463,3.78,0.138,1,SPLIT
z10080,tile_y1344_x1792,10303,1653,2157,223,309,365,1527,1635,1702,3.78,0.149,1,SPLIT
z10080,tile_y1344_x2240,10112,1788,2585,32,444,345,1779,1784,1706,2.0,0.395,2,SPLIT
z10080,tile_y1344_x2240,10119,1802,2671,39,458,431,245,1706,81,2.57,0.465,2,SPLIT
z10080,tile_y1344_x2240,10129,1657,2696,49,313,456,355,1778,309,2.0,0.343,2,SPLIT
z10080,tile_y1344_x2240,10131,1822,2683,51,478,443,245,418,81,5.86,0.152,1,SPLIT
z10080,tile_y1344_x2240,10135,1735,2436,55,391,196,72,333,70,2.29,0.112,2,SPLIT
z10080,tile_y1344_x2240,10137,1396,2694,57,52,454,352,477,344,2.14,0.31,2,SPLIT
z10080,tile_y1344_x2240,10137,1651,2346,57,307,106,101,478,331,4.71,0.212,2,SPLIT
z10080,tile_y1344_x2240,10139,1539,2352,59,195,112,33,263,379,2.71,0.184,2,SPLIT
z10080,tile_y1344_x2240,10141,1761,2422,61,417,182,328,381,72,2.0,0.166,2,SPLIT
z10080,tile_y1344_x2240,10143,1774,2316,63,430,76,1970,2178,1904,3.71,0.457,2,SPLIT
z10080,tile_y1344_x2240,10152,1755,2605,72,411,365,2022,481,2018,3.71,0.2,2,SPLIT
z10080,tile_y1344_x2240,10157,1817,2427,77,473,187,2004,1986,2061,2.43,0.351,2,SPLIT
z10080,tile_y1344_x2240,10167,1648,2379,87,304,139,499,632,468,3.43,0.205,2,SPLIT
z10080,tile_y1344_x2240,10168,1655,2419,88,311,179,46,499,534,2.57,0.22,2,SPLIT
z10080,tile_y1344_x2240,10171,1706,2570,91,362,330,1919,2098,2111,2.86,0.293,2,SPLIT
z10080,tile_y1344_x2240,10177,1767,2367,97,423,127,586,2029,559,2.14,0.391,2,SPLIT
z10080,tile_y1344_x2240,10178,1803,2304,98,459,64,2154,2178,2102,2.29,0.536,2,SPLIT
z10080,tile_y1344_x2240,10179,1724,2708,99,380,468,714,493,625,4.29,0.387,1,SPLIT
z10080,tile_y1344_x2240,10179,1784,2512,99,440,272,2116,2146,2335,2.43,0.547,2,SPLIT
z10080,tile_y1344_x2240,10184,1754,2472,104,410,232,571,562,676,3.29,0.242,2,SPLIT
z10080,tile_y1344_x2240,10184,1780,2326,104,436,86,2178,2167,2126,4.57,0.448,2,SPLIT
z10080,tile_y1344_x2240,10185,1682,2499,105,338,259,302,455,579,2.29,0.288,2,SPLIT
z10080,tile_y1344_x2240,10187,1805,2335,107,461,95,2126,2189,2178,4.0,0.483,2,SPLIT
z10080,tile_y1344_x2240,10191,1747,2591,111,403,351,2165,2238,2209,2.43,0.214,2,SPLIT
z10080,tile_y1344_x2240,10196,1473,2411,116,129,171,589,716,545,3.71,0.206,2,SPLIT
z10080,tile_y1344_x2240,10197,1467,2359,117,123,119,679,497,688,2.71,0.453,2,SPLIT
z10080,tile_y1344_x2240,10201,1813,2362,121,469,122,2219,2188,2227,3.14,0.322,2,SPLIT
z10080,tile_y1344_x2240,10203,1751,2405,123,407,165,70,735,853,2.71,0.23,2,SPLIT
z10080,tile_y1344_x2240,10205,1724,2474,125,380,234,2335,633,2273,5.0,0.162,1,SPLIT
z10080,tile_y1344_x2240,10205,1822,2359,125,478,119,2227,2189,2219,2.14,0.398,2,SPLIT
z10080,tile_y1344_x2240,10208,1719,2277,128,375,37,664,691,615,2.29,0.344,2,SPLIT
z10080,tile_y1344_x2240,10209,1442,2388,129,98,148,747,363,754,2.0,0.339,2,SPLIT
z10080,tile_y1344_x2240,10210,1493,2501,130,149,261,612,819,640,3.0,0.205,2,SPLIT
z10080,tile_y1344_x2240,10211,1679,2369,131,335,129,70,1034,803,4.43,0.201,2,SPLIT
z10080,tile_y1344_x2240,10217,1540,2524,137,196,284,612,623,801,2.14,0.213,2,SPLIT
z10080,tile_y1344_x2240,10217,1681,2481,137,337,241,2335,837,787,2.29,0.298,2,SPLIT
z10080,tile_y1344_x2240,10218,1775,2430,138,431,190,70,853,771,4.57,0.203,1,SPLIT
z10080,tile_y1344_x2240,10223,1386,2533,143,42,293,764,808,805,2.71,0.388,2,SPLIT
z10080,tile_y1344_x2240,10223,1753,2611,143,409,371,766,816,807,2.29,0.258,2,SPLIT
z10080,tile_y1344_x2240,10230,1764,2418,150,420,178,853,70,877,3.86,0.383,2,SPLIT
z10080,tile_y1344_x2240,10231,1627,2658,151,283,418,935,843,2279,3.71,0.703,2,SPLIT
z10080,tile_y1344_x2240,10231,1645,2508,151,301,268,845,2272,810,2.43,0.328,2,SPLIT
z10080,tile_y1344_x2240,10233,1569,2651,153,225,411,874,628,919,2.86,0.169,2,SPLIT
z10080,tile_y1344_x2240,10235,1453,2378,155,109,138,905,891,922,3.71,0.32,2,SPLIT
z10080,tile_y1344_x2240,10238,1555,2577,158,211,337,446,760,547,2.14,0.398,2,SPLIT
z10080,tile_y1344_x2240,10238,1718,2613,158,374,373,860,899,814,2.0,0.349,2,SPLIT
z10080,tile_y1344_x2240,10240,1790,2519,160,446,279,2331,2335,2353,5.14,0.172,1,SPLIT
z10080,tile_y1344_x2240,10241,1652,2620,161,308,380,894,965,885,2.14,0.263,2,SPLIT
z10080,tile_y1344_x2240,10242,1607,2649,162,263,409,935,885,919,3.0,0.141,2,SPLIT
z10080,tile_y1344_x2240,10242,1611,2714,162,267,474,569,902,1286,3.43,0.12,2,SPLIT
z10080,tile_y1344_x2240,10243,1754,2611,163,410,371,766,959,1155,2.14,0.26,2,SPLIT
z10080,tile_y1344_x2240,10246,1647,2659,166,303,419,2279,903,2409,3.71,0.206,2,SPLIT
z10080,tile_y1344_x2240,10249,1609,2514,169,265,274,893,1019,1075,2.14,0.176,2,SPLIT
z10080,tile_y1344_x2240,10249,1796,2461,169,452,221,817,2385,972,6.29,0.193,2,SPLIT
z10080,tile_y1344_x2240,10251,1549,2581,171,205,341,547,446,941,2.57,0.266,2,SPLIT
z10080,tile_y1344_x2240,10251,1692,2411,171,348,171,796,1052,70,4.0,0.279,2,SPLIT
z10080,tile_y1344_x2240,10255,1607,2415,175,263,175,976,1043,910,4.14,0.282,2,SPLIT
z10080,tile_y1344_x2240,10256,1543,2602,176,199,362,980,941,628,4.0,0.276,1,SPLIT
z10080,tile_y1344_x2240,10256,1706,2502,176,362,262,2335,976,2411,2.0,0.383,2,SPLIT
z10080,tile_y1344_x2240,10258,1798,2549,178,454,309,2331,2613,2324,4.71,0.355,1,SPLIT
z10080,tile_y1344_x2240,10263,1585,2555,183,241,315,996,1033,760,4.14,0.188,2,SPLIT
z10080,tile_y1344_x2240,10270,1398,2498,190,54,258,1236,1177,1064,2.71,0.115,2,SPLIT
z10080,tile_y1344_x2240,10270,1666,2673,190,322,433,2452,2481,2279,2.43,0.431,2,SPLIT
z10080,tile_y1344_x2240,10271,1802,2680,191,458,440,2445,2341,2511,3.71,0.465,2,SPLIT
z10080,tile_y1344_x2240,10273,1605,2310,193,261,70,1187,1128,1166,3.71,0.366,2,SPLIT
z10080,tile_y1344_x2240,10273,1811,2616,193,467,376,2614,2535,2375,4.0,0.478,2,SPLIT
z10080,tile_y1344_x2240,10277,1472,2644,197,128,404,1102,1304,1066,2.0,0.68,2,SPLIT
z10080,tile_y1344_x2240,10278,1737,2469,198,393,229,1088,1234,1183,2.86,0.411,2,SPLIT
z10080,tile_y1344_x2240,10281,1720,2701,201,376,461,2449,2543,2548,2.71,0.599,2,SPLIT
z10080,tile_y1344_x2240,10284,1450,2461,204,106,221,701,1140,1185,3.0,0.476,2,SPLIT
z10080,tile_y1344_x2240,10290,1390,2376,210,46,136,856,1171,1326,2.57,0.175,2,SPLIT
z10080,tile_y1344_x2240,10290,1823,2619,210,479,379,2614,2506,2375,2.57,0.271,2,SPLIT
z10080,tile_y1344_x2240,10293,1468,2470,213,124,230,1185,701,1141,2.57,0.362,2,SPLIT
z10080,tile_y1344_x2240,10294,1626,2386,214,282,146,796,1199,1379,3.71,0.37,2,SPLIT
z10080,tile_y1344_x2240,10295,1763,2707,215,419,467,2549,2555,2636,5.14,0.463,2,SPLIT
z10080,tile_y1344_x2240,10299,1482,2599,219,138,359,1330,1221,1295,2.57,0.22,2,SPLIT
z10080,tile_y1344_x2240,10302,1391,2299,222,47,59,1061,1053,1333,2.86,0.135,2,SPLIT
z10080,tile_y1344_x2240,10303,1606,2352,223,262,112,1310,1243,910,3.71,0.149,2,SPLIT
z10080,tile_y1344_x2240,10303,1612,2719,223,268,479,1286,2568,1297,3.43,0.144,2,SPLIT
z10080,tile_y1344_x2688,10148,1763,2893,68,419,205,1078,1014,1001,7.0,0.487,1,SPLIT
z10080,tile_y1344_x2688,10165,1791,2954,85,447,266,30,288,203,4.57,0.533,1,SPLIT
z10080,tile_y1344_x2688,10174,1556,2805,94,212,117,1483,1162,1071,4.71,0.323,1,SPLIT
z10080,tile_y1344_x2688,10176,1497,2817,96,153,129,1483,1148,1080,4.43,0.248,1,SPLIT
z10080,tile_y1344_x2688,10243,1683,2918,163,339,230,1415,1446,1593,4.29,0.288,1,SPLIT
z10080,tile_y1344_x2688,10244,1655,3022,164,311,334,1783,1913,1364,7.0,0.115,1,SPLIT
z10080,tile_y1344_x2688,10246,1594,2875,166,250,187,474,1526,1966,5.71,0.33,1,SPLIT
z10080,tile_y1344_x2688,10249,1678,3032,169,334,344,1783,344,1607,5.29,0.174,1,SPLIT
z10080,tile_y1344_x2688,10258,1631,2856,178,287,168,1966,591,1493,4.71,0.129,1,SPLIT
z10080,tile_y1344_x2688,10265,1746,2883,185,402,195,1729,1470,1610,5.0,0.399,1,SPLIT
z10080,tile_y1344_x2688,10278,1665,2762,198,321,74,595,536,549,4.43,0.395,1,SPLIT
z10080,tile_y1344_x2688,10287,1772,3001,207,428,313,2067,2068,1783,6.0,0.257,1,SPLIT
z10080,tile_y1344_x2688,10296,1691,2987,216,347,299,1537,2030,1913,5.14,0.501,1,SPLIT
z10080,tile_y1344_x2688,10301,1656,2879,221,312,191,1919,1923,1863,5.29,0.416,1,SPLIT
z10080,tile_y1344_x448,10126,1439,865,46,95,417,317,29,377,4.5,0.187,1,SPLIT
z10080,tile_y1344_x448,10127,1431,794,47,87,346,371,583,26,4.9,0.218,1,SPLIT
z10080,tile_y1344_x448,10141,1389,896,61,45,448,2085,2138,2101,3.2,0.374,1,SPLIT
z10080,tile_y1344_x448,10146,1599,648,66,255,200,2279,2070,2141,4.9,0.379,1,SPLIT
z10080,tile_y1344_x448,10186,1469,755,106,125,307,2491,2630,2827,3.5,0.401,1,SPLIT
z10080,tile_y1344_x448,10206,1502,677,126,158,229,2631,2566,2650,3.0,0.246,1,SPLIT
z10080,tile_y1344_x448,10273,1580,744,193,236,296,3473,3497,3314,3.1,0.114,1,SPLIT
z10080,tile_y1344_x448,10280,1433,901,200,89,453,3345,3540,3743,3.4,0.18,1,SPLIT
z10080,tile_y1344_x448,10288,1692,494,208,348,46,3246,3623,3585,3.1,0.322,1,SPLIT
z10080,tile_y1344_x448,10296,1726,666,216,382,218,3748,3747,3728,3.4,0.386,1,SPLIT
z10080,tile_y1344_x448,10303,1554,563,223,210,115,3723,3445,1561,3.6,0.241,1,SPLIT
z10080,tile_y1344_x896,10116,1565,1194,36,221,298,204,534,286,4.88,0.277,2,SPLIT
z10080,tile_y1344_x896,10117,1430,964,37,86,68,1870,1825,1984,3.25,0.356,2,SPLIT
z10080,tile_y1344_x896,10120,1398,1150,40,54,254,304,422,275,2.75,0.473,2,SPLIT
z10080,tile_y1344_x896,10122,1567,1258,42,223,362,363,480,471,3.38,0.238,2,SPLIT
z10080,tile_y1344_x896,10127,1582,1211,47,238,315,204,534,1866,3.75,0.192,2,SPLIT
z10080,tile_y1344_x896,10128,1724,1191,48,380,295,1927,525,1905,2.12,0.338,2,SPLIT
z10080,tile_y1344_x896,10131,1820,1308,51,476,412,1864,2024,1958,2.62,0.427,2,SPLIT
z10080,tile_y1344_x896,10132,1419,1204,52,75,308,324,493,545,3.5,0.237,2,SPLIT
z10080,tile_y1344_x896,10132,1560,970,52,216,74,49,577,442,4.25,0.174,2,SPLIT
z10080,tile_y1344_x896,10135,1445,994,55,101,98,1932,2031,1945,3.62,0.371,2,SPLIT
z10080,tile_y1344_x896,10139,1411,1024,59,67,128,2021,1984,2061,5.25,0.465,2,SPLIT
z10080,tile_y1344_x896,10140,1676,1231,60,332,335,485,71,568,1.88,0.309,2,SPLIT
z10080,tile_y1344_x896,10141,1509,1254,61,165,358,505,626,636,2.88,0.222,2,SPLIT
z10080,tile_y1344_x896,10148,1492,1219,68,148,323,532,2198,590,3.25,0.104,2,SPLIT
z10080,tile_y1344_x896,10148,1804,1079,68,460,183,2011,542,2033,3.25,0.525,2,SPLIT
z10080,tile_y1344_x896,10149,1394,1207,69,50,311,275,545,552,1.88,0.256,2,SPLIT
z10080,tile_y1344_x896,10151,1706,1179,71,362,283,2023,2149,2002,3.25,0.407,2,SPLIT
z10080,tile_y1344_x896,10154,1618,1048,74,274,152,592,620,355,1.88,0.367,2,SPLIT
z10080,tile_y1344_x896,10157,1748,1233,77,404,337,2108,2042,2081,2.62,0.492,2,SPLIT
