population,crop_z,crop_y,crop_x,mega_id,mega_vox,mega_frac,n_flagged_sites,n_tier1_sites,crop_mask_vox,crop_n_megas
site,256,1536,0,2,2979531,0.9407,3,3,3167473,1
site,256,1536,512,25,753813,0.472,3,3,1597001,3
site,256,1536,512,31,51034,0.032,1,0,1597001,3
site,256,1536,512,64,53790,0.0337,0,0,1597001,3
site,256,1536,1024,1,38659,0.0539,1,1,717705,4
site,256,1536,1024,2,39442,0.055,0,0,717705,4
site,256,1536,1024,17,60627,0.0845,1,1,717705,4
site,256,1536,1024,38,32336,0.0451,0,0,717705,4
site,256,1536,1536,2,4319342,0.9178,4,4,4706052,1
site,256,1536,3584,1,26226,0.0391,0,0,670767,5
site,256,1536,3584,4,359798,0.5364,3,3,670767,5
site,256,1536,3584,19,80678,0.1203,0,0,670767,5
site,256,1536,3584,21,59754,0.0891,0,0,670767,5
site,256,1536,3584,22,74768,0.1115,1,1,670767,5
site,256,2048,512,1,16087,0.0341,0,0,471846,8
site,256,2048,512,23,17533,0.0372,0,0,471846,8
site,256,2048,512,25,17321,0.0367,0,0,471846,8
site,256,2048,512,28,14521,0.0308,0,0,471846,8
site,256,2048,512,30,28069,0.0595,0,0,471846,8
site,256,2048,512,33,17369,0.0368,0,0,471846,8
site,256,2048,512,35,38623,0.0819,0,0,471846,8
site,256,2048,512,37,81684,0.1731,0,0,471846,8
site,256,2048,1536,12,45010,0.0629,0,0,715174,6
site,256,2048,1536,20,35550,0.0497,0,0,715174,6
site,256,2048,1536,23,183209,0.2562,0,0,715174,6
site,256,2048,1536,38,41956,0.0587,0,0,715174,6
site,256,2048,1536,39,29844,0.0417,0,0,715174,6
site,256,2048,1536,40,28661,0.0401,0,0,715174,6
site,256,2048,2048,12,2608645,0.8829,6,6,2954785,1
site,256,2048,2560,2,2721248,0.8455,4,4,3218589,1
site,384,1536,0,13,2678754,0.893,4,4,2999616,1
site,384,1536,512,33,980624,0.761,2,2,1288584,1
site,384,1536,3072,1,65298,0.3537,1,1,184621,8
site,384,1536,3072,7,8260,0.0447,0,0,184621,8
site,384,1536,3072,9,7976,0.0432,0,0,184621,8
site,384,1536,3072,15,14025,0.076,0,0,184621,8
site,384,1536,3072,17,21871,0.1185,0,0,184621,8
site,384,1536,3072,18,9899,0.0536,0,0,184621,8
site,384,1536,3072,23,5794,0.0314,0,0,184621,8
site,384,1536,3072,25,7765,0.0421,0,0,184621,8
site,384,2048,1024,1,24111,0.0936,0,0,257653,6
site,384,2048,1024,6,54904,0.2131,0,0,257653,6
site,384,2048,1024,7,17561,0.0682,0,0,257653,6
site,384,2048,1024,10,10319,0.04,0,0,257653,6
site,384,2048,1024,11,23110,0.0897,1,1,257653,6
site,384,2048,1024,20,7734,0.03,0,0,257653,6
site,384,2048,1536,1,78335,0.1172,0,0,668540,3
site,384,2048,1536,12,50682,0.0758,0,0,668540,3
site,384,2048,1536,26,42838,0.0641,1,1,668540,3
site,384,2048,2048,2,292303,0.4684,3,3,624079,4
site,384,2048,2048,37,23875,0.0383,1,1,624079,4
site,384,2048,2048,38,20362,0.0326,0,0,624079,4
site,384,2048,2048,42,25037,0.0401,0,0,624079,4
site,384,2048,2560,1,1009052,0.8728,2,2,1156117,1
site,384,2048,3072,4,164696,0.2857,1,1,576437,6
site,384,2048,3072,10,85550,0.1484,2,2,576437,6
site,384,2048,3072,11,42575,0.0739,0,0,576437,6
site,384,2048,3072,13,34748,0.0603,0,0,576437,6
site,384,2048,3072,28,19548,0.0339,0,0,576437,6
site,384,2048,3072,43,20260,0.0351,0,0,576437,6
site,512,2048,512,2,3026077,0.7974,12,12,3794927,1
site,512,2048,1024,1,695594,0.1193,0,0,5830279,2
site,512,2048,1024,97,941088,0.1614,5,5,5830279,2
site,512,2048,1536,5,192380,0.0795,3,3,2419141,5
site,512,2048,1536,9,77771,0.0321,0,0,2419141,5
site,512,2048,1536,21,99373,0.0411,0,0,2419141,5
site,512,2048,1536,41,535826,0.2215,0,0,2419141,5
site,512,2048,1536,117,100222,0.0414,0,0,2419141,5
site,512,2560,1024,1,42003,0.1399,0,0,300279,9
site,512,2560,1024,2,43196,0.1439,0,0,300279,9
site,512,2560,1024,3,19841,0.0661,0,0,300279,9
site,512,2560,1024,7,37208,0.1239,0,0,300279,9
site,512,2560,1024,8,11155,0.0371,0,0,300279,9
site,512,2560,1024,10,11902,0.0396,0,0,300279,9
site,512,2560,1024,14,31296,0.1042,0,0,300279,9
site,512,2560,1024,21,30623,0.102,0,0,300279,9
site,512,2560,1024,22,11870,0.0395,0,0,300279,9
site,512,2560,1536,2,59765,0.4147,2,2,144105,5
site,512,2560,1536,3,42674,0.2961,0,0,144105,5
site,512,2560,1536,5,9185,0.0637,0,0,144105,5
site,512,2560,1536,6,11316,0.0785,0,0,144105,5
site,512,2560,1536,9,10294,0.0714,0,0,144105,5
site,640,1536,512,3,985903,0.7357,1,1,1340171,1
site,640,2048,512,1,2591778,0.3985,4,4,6503567,2
site,640,2048,512,53,199244,0.0306,0,0,6503567,2
site,640,2048,1024,1,303090,0.0391,0,0,7759803,5
site,640,2048,1024,111,240532,0.031,0,0,7759803,5
site,640,2048,1024,130,413568,0.0533,0,0,7759803,5
site,640,2048,1024,201,242189,0.0312,0,0,7759803,5
site,640,2048,1024,217,255283,0.0329,1,1,7759803,5
site,640,2048,1536,2,263690,0.0418,0,0,6314381,4
site,640,2048,1536,27,236062,0.0374,1,0,6314381,4
site,640,2048,1536,84,305632,0.0484,0,0,6314381,4
site,640,2048,1536,126,411802,0.0652,0,0,6314381,4
site,640,2048,2048,13,1115023,0.4097,14,5,2721287,3
site,640,2048,2048,117,127457,0.0468,5,2,2721287,3
site,640,2048,2048,119,114201,0.042,4,1,2721287,3
site,768,1536,0,3,25361,0.6144,1,1,41276,4
site,768,1536,0,4,1877,0.0455,0,0,41276,4
site,768,1536,0,7,3241,0.0785,0,0,41276,4
site,768,1536,0,8,2713,0.0657,0,0,41276,4
site,768,1536,512,6,3739065,0.6251,4,4,5981240,1
site,768,1536,1024,20,150382,0.0353,0,0,4260797,3
site,768,1536,1024,67,1425763,0.3346,9,9,4260797,3
site,768,1536,1024,107,132756,0.0312,0,0,4260797,3
site,768,1536,1536,13,104857,0.0607,2,0,1728377,4
site,768,1536,1536,20,356164,0.2061,6,0,1728377,4
site,768,1536,1536,22,66991,0.0388,1,0,1728377,4
site,768,1536,1536,44,123457,0.0714,0,0,1728377,4
site,768,1536,2048,7,385739,0.3758,4,0,1026455,4
site,768,1536,2048,13,34239,0.0334,1,0,1026455,4
site,768,1536,2048,26,85890,0.0837,0,0,1026455,4
site,768,1536,2048,77,40074,0.039,1,1,1026455,4
site,768,2048,0,8,23858,0.0382,0,0,623948,7
site,768,2048,0,9,267590,0.4289,6,6,623948,7
site,768,2048,0,13,22992,0.0368,0,0,623948,7
site,768,2048,0,15,23214,0.0372,0,0,623948,7
site,768,2048,0,27,25608,0.041,0,0,623948,7
site,768,2048,0,30,36159,0.058,0,0,623948,7
site,768,2048,0,32,49745,0.0797,0,0,623948,7
site,768,2048,512,1,308615,0.0517,0,0,5970792,4
site,768,2048,512,31,292884,0.0491,0,0,5970792,4
site,768,2048,512,127,343011,0.0574,0,0,5970792,4
site,768,2048,512,184,189731,0.0318,1,1,5970792,4
site,768,2048,1024,39,244179,0.0314,0,0,7786838,4
site,768,2048,1024,49,292431,0.0376,0,0,7786838,4
site,768,2048,1024,112,265564,0.0341,0,0,7786838,4
site,768,2048,1024,128,494621,0.0635,0,0,7786838,4
site,768,2048,1536,4,277633,0.0376,1,1,7391898,7
site,768,2048,1536,8,267566,0.0362,1,1,7391898,7
site,768,2048,1536,18,524590,0.071,1,1,7391898,7
site,768,2048,1536,20,223032,0.0302,1,0,7391898,7
site,768,2048,1536,37,297617,0.0403,0,0,7391898,7
site,768,2048,1536,48,373353,0.0505,0,0,7391898,7
site,768,2048,1536,53,226152,0.0306,0,0,7391898,7
site,768,2048,2048,18,1844212,0.3013,8,6,6120889,3
site,768,2048,2048,44,335242,0.0548,2,0,6120889,3
site,768,2048,2048,98,419139,0.0685,11,1,6120889,3
site,768,2560,1536,4,76400,0.0513,0,0,1488665,7
site,768,2560,1536,7,180900,0.1215,0,0,1488665,7
site,768,2560,1536,13,81051,0.0544,1,0,1488665,7
site,768,2560,1536,14,183040,0.123,0,0,1488665,7
site,768,2560,1536,28,50946,0.0342,1,0,1488665,7
site,768,2560,1536,29,190817,0.1282,0,0,1488665,7
site,768,2560,1536,30,176253,0.1184,0,0,1488665,7
site,768,2560,2048,3,17737,0.0378,0,0,468700,6
site,768,2560,2048,4,229712,0.4901,4,0,468700,6
site,768,2560,2048,6,27084,0.0578,1,0,468700,6
site,768,2560,2048,7,37381,0.0798,1,0,468700,6
site,768,2560,2048,12,16483,0.0352,0,0,468700,6
site,768,2560,2048,18,26844,0.0573,0,0,468700,6
site,896,1024,512,2,364235,0.689,1,1,528628,2
site,896,1024,512,9,26261,0.0497,0,0,528628,2
site,896,1536,512,2,6282248,0.666,8,8,9432885,1
site,896,1536,1024,117,234754,0.0314,0,0,7479335,4
site,896,1536,1024,122,278645,0.0373,0,0,7479335,4
site,896,1536,1024,295,294623,0.0394,0,0,7479335,4
site,896,1536,1024,376,321123,0.0429,0,0,7479335,4
site,896,1536,1536,5,603810,0.1016,8,1,5943600,3
site,896,1536,1536,16,449744,0.0757,9,1,5943600,3
site,896,1536,1536,51,880006,0.1481,1,1,5943600,3
site,896,1536,2048,1,2024268,0.3491,7,3,5797818,2
site,896,1536,2048,11,1546568,0.2668,3,3,5797818,2
site,896,2048,0,1,44362,0.0531,0,0,836040,8
site,896,2048,0,8,62631,0.0749,0,0,836040,8
site,896,2048,0,19,28086,0.0336,0,0,836040,8
site,896,2048,0,21,34764,0.0416,0,0,836040,8
site,896,2048,0,25,118075,0.1412,0,0,836040,8
site,896,2048,0,34,60503,0.0724,0,0,836040,8
site,896,2048,0,35,78937,0.0944,0,0,836040,8
site,896,2048,0,52,31231,0.0374,0,0,836040,8
site,896,2048,512,17,212004,0.0409,0,0,5186692,3
site,896,2048,512,54,166176,0.032,1,1,5186692,3
site,896,2048,512,215,162536,0.0313,0,0,5186692,3
site,896,2048,1024,6,417888,0.0533,0,0,7843258,4
site,896,2048,1024,53,253347,0.0323,0,0,7843258,4
site,896,2048,1024,69,403574,0.0515,0,0,7843258,4
site,896,2048,1024,92,586134,0.0747,0,0,7843258,4
site,896,2048,1536,1,256977,0.032,4,0,8024301,5
site,896,2048,1536,11,753596,0.0939,0,0,8024301,5
site,896,2048,1536,86,294351,0.0367,0,0,8024301,5
site,896,2048,1536,134,278790,0.0347,0,0,8024301,5
site,896,2048,1536,204,402015,0.0501,0,0,8024301,5
site,896,2048,2048,9,419279,0.0669,2,2,6269577,3
site,896,2048,2048,23,209267,0.0334,0,0,6269577,3
site,896,2048,2048,314,398748,0.0636,0,0,6269577,3
site,896,2560,1536,4,41657,0.0429,1,1,970188,6
site,896,2560,1536,11,408740,0.4213,0,0,970188,6
site,896,2560,1536,15,53204,0.0548,0,0,970188,6
site,896,2560,1536,18,62613,0.0645,0,0,970188,6
site,896,2560,1536,24,35966,0.0371,0,0,970188,6
site,896,2560,1536,40,62506,0.0644,0,0,970188,6
site,1024,1024,512,2,2543223,0.7883,8,8,3226392,1
site,1024,1024,1024,2,2152845,0.5548,6,5,3880258,3
site,1024,1024,1024,10,134512,0.0347,0,0,3880258,3
site,1024,1024,1024,13,151929,0.0392,1,1,3880258,3
site,1024,1024,1536,3,1097499,0.4236,9,0,2590948,2
site,1024,1024,1536,37,329814,0.1273,0,0,2590948,2
site,1024,1536,512,1,274585,0.0318,0,0,8635783,5
site,1024,1536,512,4,689807,0.0799,1,1,8635783,5
site,1024,1536,512,52,912660,0.1057,1,1,8635783,5
site,1024,1536,512,53,640049,0.0741,2,2,8635783,5
site,1024,1536,512,246,377653,0.0437,0,0,8635783,5
site,1024,1536,1024,385,281382,0.0323,0,0,8700621,1
site,1024,1536,1536,11,660995,0.0697,0,0,9479181,2
site,1024,1536,1536,37,743639,0.0784,12,1,9479181,2
site,1024,1536,2048,1,1727422,0.1849,5,5,9340146,4
site,1024,1536,2048,14,1063807,0.1139,4,4,9340146,4
site,1024,1536,2048,25,291026,0.0312,1,1,9340146,4
site,1024,1536,2048,113,292606,0.0313,1,0,9340146,4
site,1024,1536,2560,1,38433,0.0409,0,0,939301,7
site,1024,1536,2560,2,31818,0.0339,0,0,939301,7
site,1024,1536,2560,18,30032,0.032,0,0,939301,7
site,1024,1536,2560,30,30274,0.0322,0,0,939301,7
site,1024,1536,2560,35,123614,0.1316,0,0,939301,7
site,1024,1536,2560,48,41273,0.0439,0,0,939301,7
site,1024,1536,2560,60,33928,0.0361,0,0,939301,7
site,1024,2048,0,1,66022,0.073,0,0,904016,9
site,1024,2048,0,6,83165,0.092,0,0,904016,9
site,1024,2048,0,11,30377,0.0336,0,0,904016,9
site,1024,2048,0,19,27330,0.0302,0,0,904016,9
site,1024,2048,0,26,94663,0.1047,0,0,904016,9
site,1024,2048,0,47,37571,0.0416,0,0,904016,9
site,1024,2048,0,50,52707,0.0583,0,0,904016,9
site,1024,2048,0,57,33738,0.0373,0,0,904016,9
site,1024,2048,0,68,55885,0.0618,0,0,904016,9
site,1024,2048,512,11,204928,0.0391,0,0,5241394,2
site,1024,2048,512,37,162888,0.0311,0,0,5241394,2
site,1024,2048,1024,10,378078,0.0472,0,0,8006365,3
site,1024,2048,1024,65,405860,0.0507,0,0,8006365,3
site,1024,2048,1024,156,302640,0.0378,0,0,8006365,3
site,1024,2048,1536,27,567544,0.0671,0,0,8454059,3
site,1024,2048,1536,57,402038,0.0476,0,0,8454059,3
site,1024,2048,1536,120,487383,0.0577,0,0,8454059,3
site,1024,2048,2048,80,210405,0.0381,1,0,5524646,2
site,1024,2048,2048,106,317616,0.0575,0,0,5524646,2
site,1024,2048,2560,1,24335,0.1031,1,1,235997,4
site,1024,2048,2560,4,120892,0.5123,0,0,235997,4
site,1024,2048,2560,13,23452,0.0994,0,0,235997,4
site,1024,2048,2560,23,9810,0.0416,0,0,235997,4
site,1024,2560,1536,2,42962,0.0681,0,0,630594,11
site,1024,2560,1536,3,87666,0.139,1,1,630594,11
site,1024,2560,1536,7,30027,0.0476,0,0,630594,11
site,1024,2560,1536,13,52986,0.084,0,0,630594,11
site,1024,2560,1536,14,41387,0.0656,0,0,630594,11
site,1024,2560,1536,16,41865,0.0664,0,0,630594,11
site,1024,2560,1536,17,20843,0.0331,0,0,630594,11
site,1024,2560,1536,21,74232,0.1177,0,0,630594,11
site,1024,2560,1536,25,21485,0.0341,0,0,630594,11
site,1024,2560,1536,28,64381,0.1021,0,0,630594,11
site,1024,2560,1536,29,38911,0.0617,0,0,630594,11
site,1152,1024,512,1,397082,0.1041,0,0,3813728,4
site,1152,1024,512,5,1399519,0.367,8,7,3813728,4
site,1152,1024,512,46,166255,0.0436,0,0,3813728,4
site,1152,1024,512,199,186381,0.0489,2,0,3813728,4
site,1152,1024,1024,3,3100758,0.3716,3,3,8344644,1
site,1152,1024,1536,1,1705699,0.2738,5,4,6230233,2
site,1152,1024,1536,169,678870,0.109,5,4,6230233,2
site,1152,1024,2048,4,3183706,0.6135,9,2,5188998,1
site,1152,1024,2560,1,6353,0.0363,0,0,174898,7
site,1152,1024,2560,2,53912,0.3082,1,1,174898,7
site,1152,1024,2560,3,20082,0.1148,0,0,174898,7
site,1152,1024,2560,4,8107,0.0464,0,0,174898,7
site,1152,1024,2560,7,5637,0.0322,0,0,174898,7
site,1152,1024,2560,8,19108,0.1093,0,0,174898,7
site,1152,1024,2560,10,7949,0.0454,0,0,174898,7
site,1152,1536,0,8,14344,0.0314,0,0,456630,13
site,1152,1536,0,14,15492,0.0339,0,0,456630,13
site,1152,1536,0,17,15534,0.034,0,0,456630,13
site,1152,1536,0,20,38422,0.0841,0,0,456630,13
site,1152,1536,0,21,16893,0.037,0,0,456630,13
site,1152,1536,0,23,30268,0.0663,1,1,456630,13
site,1152,1536,0,27,20442,0.0448,0,0,456630,13
site,1152,1536,0,32,18818,0.0412,0,0,456630,13
site,1152,1536,0,33,19313,0.0423,0,0,456630,13
site,1152,1536,0,34,14598,0.032,0,0,456630,13
site,1152,1536,0,35,18095,0.0396,0,0,456630,13
site,1152,1536,0,36,28598,0.0626,0,0,456630,13
site,1152,1536,0,45,16619,0.0364,0,0,456630,13
site,1152,1536,512,8,1262400,0.1503,20,1,8396831,5
site,1152,1536,512,40,253542,0.0302,0,0,8396831,5
site,1152,1536,512,109,519189,0.0618,3,3,8396831,5
site,1152,1536,512,138,406679,0.0484,0,0,8396831,5
site,1152,1536,512,247,994531,0.1184,9,0,8396831,5
site,1152,1536,1024,49,441197,0.0488,5,3,9039815,3
site,1152,1536,1024,71,370897,0.041,8,0,9039815,3
site,1152,1536,1024,561,937455,0.1037,13,1,9039815,3
site,1152,1536,1536,191,675266,0.074,3,1,9131215,1
site,1152,1536,2048,7,271919,0.0312,1,1,8718292,2
site,1152,1536,2048,133,536684,0.0616,3,0,8718292,2
site,1152,1536,2560,8,1010450,0.6028,5,0,1676352,2
site,1152,1536,2560,34,88375,0.0527,5,0,1676352,2
site,1152,2048,0,2,77832,0.0853,1,1,912397,4
site,1152,2048,0,16,376942,0.4131,0,0,912397,4
site,1152,2048,0,31,55846,0.0612,0,0,912397,4
site,1152,2048,0,58,32333,0.0354,0,0,912397,4
site,1152,2048,512,9,253044,0.0524,0,0,4832797,3
site,1152,2048,512,48,158176,0.0327,1,1,4832797,3
site,1152,2048,512,125,148934,0.0308,0,0,4832797,3
site,1152,2048,1024,7,816013,0.0968,0,0,8433839,2
site,1152,2048,1024,35,324575,0.0385,0,0,8433839,2
site,1152,2048,1536,132,534714,0.0586,0,0,9128847,3
site,1152,2048,1536,277,463526,0.0508,0,0,9128847,3
site,1152,2048,1536,291,589232,0.0645,1,0,9128847,3
site,1152,2048,2048,5,329871,0.0602,7,2,5483991,4
site,1152,2048,2048,21,239561,0.0437,0,0,5483991,4
site,1152,2048,2048,129,346175,0.0631,0,0,5483991,4
site,1152,2048,2048,189,240397,0.0438,0,0,5483991,4
site,1152,2048,2560,1,94617,0.7525,1,0,125736,4
site,1152,2048,2560,5,4610,0.0367,0,0,125736,4
site,1152,2048,2560,6,5548,0.0441,0,0,125736,4
site,1152,2048,2560,11,4182,0.0333,0,0,125736,4
site,1280,512,1024,3,25358,0.0307,0,0,827157,3
site,1280,512,1024,5,455228,0.5504,2,1,827157,3
site,1280,512,1024,11,31842,0.0385,0,0,827157,3
site,1280,512,1536,3,337254,0.6738,1,0,500519,2
site,1280,512,1536,10,26735,0.0534,0,0,500519,2
site,1280,1024,512,1,159911,0.0363,0,0,4407704,5
site,1280,1024,512,5,191416,0.0434,1,1,4407704,5
site,1280,1024,512,27,390390,0.0886,2,0,4407704,5
site,1280,1024,512,35,184150,0.0418,0,0,4407704,5
site,1280,1024,512,164,243312,0.0552,0,0,4407704,5
site,1280,1024,1024,3,2016866,0.2042,2,2,9875860,2
site,1280,1024,1024,197,311383,0.0315,0,0,9875860,2
site,1280,1024,1536,3,3118215,0.3191,6,2,9770758,2
site,1280,1024,1536,57,578927,0.0593,6,0,9770758,2
site,1280,1024,2048,2,1387123,0.1593,7,7,8704966,3
site,1280,1024,2048,13,1418414,0.1629,2,2,8704966,3
site,1280,1024,2048,49,344043,0.0395,1,0,8704966,3
site,1280,1024,2560,2,625302,0.7424,1,1,842293,1
site,1280,1536,0,2,58660,0.1018,0,0,576428,8
site,1280,1536,0,3,39133,0.0679,0,0,576428,8
site,1280,1536,0,4,35415,0.0614,0,0,576428,8
site,1280,1536,0,5,36820,0.0639,1,1,576428,8
site,1280,1536,0,9,27220,0.0472,0,0,576428,8
site,1280,1536,0,19,109218,0.1895,0,0,576428,8
site,1280,1536,0,21,62802,0.109,0,0,576428,8
site,1280,1536,0,22,31057,0.0539,0,0,576428,8
site,1280,1536,512,58,297231,0.0405,1,0,7336536,6
site,1280,1536,512,59,379532,0.0517,1,1,7336536,6
site,1280,1536,512,110,277784,0.0379,4,1,7336536,6
site,1280,1536,512,129,302564,0.0412,1,0,7336536,6
site,1280,1536,512,170,248372,0.0339,1,1,7336536,6
site,1280,1536,512,233,372467,0.0508,1,0,7336536,6
site,1280,1536,1024,14,621014,0.068,8,0,9133412,1
site,1280,1536,1536,8,393632,0.0414,3,0,9500764,3
site,1280,1536,1536,35,359364,0.0378,2,1,9500764,3
site,1280,1536,1536,88,374902,0.0395,3,0,9500764,3
site,1280,1536,2048,156,274995,0.0314,0,0,8770951,1
site,1280,1536,2560,2,825662,0.6039,1,0,1367245,1
site,1280,2048,0,1,34687,0.0361,2,2,960775,5
site,1280,2048,0,7,286613,0.2983,0,0,960775,5
site,1280,2048,0,53,84448,0.0879,0,0,960775,5
site,1280,2048,0,72,40258,0.0419,0,0,960775,5
site,1280,2048,0,84,32201,0.0335,0,0,960775,5
site,1280,2048,512,27,278585,0.0629,0,0,4429866,7
site,1280,2048,512,50,220241,0.0497,0,0,4429866,7
site,1280,2048,512,65,180092,0.0407,0,0,4429866,7
site,1280,2048,512,77,140832,0.0318,0,0,4429866,7
site,1280,2048,512,86,181476,0.041,0,0,4429866,7
site,1280,2048,512,91,410859,0.0927,0,0,4429866,7
site,1280,2048,512,114,179187,0.0404,0,0,4429866,7
site,1280,2048,1024,2,1157081,0.1408,15,3,8220229,3
site,1280,2048,1024,4,295522,0.036,2,2,8220229,3
site,1280,2048,1024,40,565938,0.0688,2,2,8220229,3
site,1280,2048,1536,57,591876,0.0676,2,1,8756259,2
site,1280,2048,1536,360,352455,0.0403,1,1,8756259,2
site,1280,2048,2048,3,185414,0.0318,2,0,5827594,2
site,1280,2048,2048,7,1764770,0.3028,10,2,5827594,2
site,1408,512,1024,5,57738,0.0684,0,0,844339,7
site,1408,512,1024,11,32092,0.038,0,0,844339,7
site,1408,512,1024,12,26721,0.0316,0,0,844339,7
site,1408,512,1024,24,34804,0.0412,0,0,844339,7
site,1408,512,1024,44,39281,0.0465,0,0,844339,7
site,1408,512,1024,47,52278,0.0619,0,0,844339,7
site,1408,512,1024,81,46704,0.0553,0,0,844339,7
site,1408,512,1536,2,1192831,0.5859,17,1,2036043,2
site,1408,512,1536,42,102196,0.0502,1,1,2036043,2
site,1408,512,2048,8,35124,0.0853,0,0,411667,9
site,1408,512,2048,12,12466,0.0303,0,0,411667,9
site,1408,512,2048,13,58016,0.1409,1,1,411667,9
site,1408,512,2048,23,15504,0.0377,0,0,411667,9
site,1408,512,2048,31,44528,0.1082,0,0,411667,9
site,1408,512,2048,41,18698,0.0454,0,0,411667,9
site,1408,512,2048,43,29783,0.0723,0,0,411667,9
site,1408,512,2048,46,14647,0.0356,0,0,411667,9
site,1408,512,2048,47,12793,0.0311,0,0,411667,9
site,1408,1024,512,11,143594,0.031,0,0,4629775,3
site,1408,1024,512,14,303705,0.0656,1,1,4629775,3
site,1408,1024,512,23,251072,0.0542,1,1,4629775,3
site,1408,1024,1024,65,307808,0.0326,5,0,9445374,4
site,1408,1024,1024,75,570344,0.0604,0,0,9445374,4
site,1408,1024,1024,108,327280,0.0346,8,2,9445374,4
site,1408,1024,1024,110,866865,0.0918,12,0,9445374,4
site,1408,1024,1536,2,674032,0.0686,1,1,9831235,5
site,1408,1024,1536,58,476958,0.0485,2,1,9831235,5
